Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Rodolfo Potiguar,Brusque,Brusque,"DMF, RCMF, RDMF",DMF,7,36,100000,2024-12-31,32,2679,Brazil,Brazil,right,179,70,no,9.98,4.029438000000001,1.446717,6.01612,12.56486,8.166676,0.67,1.644544,0.335721,0.44,6.654340000000001,BRA2,Testing,2024,1.0,1.0,1.0
1,Moisés,América Mineiro,América Mineiro,"LDMF, LCMF",LDMF,7,36,250000,2024-12-31,28,1368,Brazil,Brazil,right,184,76,no,5.92,2.8945,1.313505,3.289152,10.19574,6.0525,1.71,2.103816,0.657666,0.33,6.642258000000001,BRA2,Testing,2024,0.4057185248816855,0.4306399774065479,0.4181792511441167
2,Gabriel,Mirassol,Mirassol,"DMF, LCMF, CF",DMF,7,34,350000,2025-12-31,30,2386,Brazil,Brazil,right,178,67,no,4.64,1.394216,0.8141640000000001,1.85934,9.055389,5.303233000000001,1.55,2.050582,0.7713900000000001,0.62,5.764701,BRA2,Testing,2024,0.2063710693974951,0.1791734640493321,0.1927722667234136
3,Alê,América Mineiro,América Mineiro,"DMF, RDMF, LDMF",DMF,7,34,300000,2025-12-31,31,2892,Brazil,Brazil,right,184,74,no,7.59,4.109084999999999,0.714195,2.181971,13.16165,6.097728000000001,1.31,2.863440000000001,0.530656,1.59,7.778176000000001,BRA2,Testing,2024,0.5234156263870093,0.5222954663820377,0.5228555463845236
4,Auremir,Chapecoense,Chapecoense,"DMF, RDMF, LCMF",DMF,7,33,300000,2025-12-31,15,849,Brazil,Brazil,right,174,64,no,8.48,3.496556,2.120106,1.799634,5.090695999999999,2.117379,0.64,1.590106,0.636,0.42,2.11876,BRA2,Testing,2024,0.3367367535536909,0.292066591026815,0.314401672290253
5,Emerson Santos,Ponte Preta,Ponte Preta,"LDMF, DMF, LCMF",LDMF,7,32,200000,2024-12-31,29,2002,Brazil,Brazil,right,180,77,no,9.88,4.822764,1.842552,2.410232,8.608075,4.729752,0.47,0.8992859999999999,0.2375,0.28,4.680397,BRA2,Testing,2024,0.5762346492639489,0.6108647150581511,0.5935496821610501
6,Foguinho,Chapecoense,Chapecoense,"RDMF, RCMF",RDMF,7,32,300000,2024-12-31,28,2335,Brazil,Brazil,right,180,75,no,6.63,4.12224,0.461793,1.042022,4.738977,2.464546,1.12,1.193605,0.502096,0.81,2.657267,BRA2,Testing,2024,0.0383549591004866,0.04415365758987098,0.04125430834517879
7,Neto Paraíba,Operário PR,Operário PR,"RDMF, LDMF, RCMF",RDMF,7,32,50000,2024-12-31,16,842,Brazil,Brazil,right,179,74,no,6.75,3.0464,0.650715,0.653268,9.144031000000002,4.899804,2.39,3.59,1.6305,1.85,4.680051000000001,BRA2,Testing,2024,0.2013560403603755,0.1867294234281308,0.1940427318942532
8,Índio,Operário PR,Operário PR,"LDMF, LCMF",LDMF,7,32,100000,2024-12-31,23,1426,Brazil,Brazil,left,185,82,no,6.75,2.648182,1.51649,2.2725,11.798836,5.174240999999999,1.07,1.7064,0.633308,1.07,6.124987999999999,BRA2,Testing,2024,0.3556255578386787,0.370175417994091,0.3629004879163849
9,Tárik,Chapecoense,Chapecoense,"LDMF, LCMF, RCMF",LDMF,7,31,50000,2024-12-31,24,1617,Brazil,"Brazil, Italy",right,183,72,no,6.96,3.285,1.6697,2.895746,10.24365,5.064772,0.89,2.057061,0.7252520000000001,0.5,4.954656,BRA2,Testing,2024,0.4444172984560901,0.4608182943846097,0.4526177964203499
10,João Schmidt,Santos,Santos,"LDMF, LCMF, DMF",LDMF,7,31,1000000,2024-12-31,30,2873,Brazil,Brazil,left,183,80,no,10.43,4.697084,2.130792,3.539781,15.472496,8.180559,0.5,1.002814,0.19,0.56,9.64495,BRA2,Testing,2024,0.8478309695652421,0.8864788155904413,0.8671548925778418
11,Arilson,Vila Nova,Vila Nova,"LDMF, LCMF",LDMF,7,30,450000,2024-12-31,15,975,Brazil,Brazil,right,180,82,no,7.75,3.690544,1.660083,2.028852,9.231404,5.539606,0.83,1.754662,0.4625,0.18,6.089174999999999,BRA2,Testing,2024,0.4989242912929781,0.5020214614021966,0.5004728763475874
12,Rodrigo,Ituano,Ituano,"DMF, LDMF, LCMF",DMF,7,30,0,2024-12-31,29,2371,Brazil,Brazil,right,176,70,no,10.25,4.249000000000001,0.8348679999999998,1.482,5.428376999999999,2.618294,0.19,0.38125,0.08,0.19,2.99915,BRA2,Testing,2024,0.2612482463394121,0.2762870747538089,0.2687676605466106
13,Dudu Vieira,Juventude,Ponte Preta,"RDMF, RB, RCMF",RDMF,7,30,200000,2025-12-31,14,1084,Brazil,Brazil,right,175,75,no,7.97,3.739188,0.582072,1.662177,6.55944,2.660133,0.75,1.408472,0.5000249999999999,0.33,3.40632,BRA2,Testing,2024,0.144974542937377,0.1392477368891148,0.1421111399132459
14,Felipe,Sport Recife,Sport Recife,"DMF, LCMF, RDMF",DMF,7,30,900000,2024-12-31,29,2761,Brazil,Brazil,right,184,84,no,6.75,3.3277,1.302792,3.45384,11.543264,6.422415999999999,0.68,1.694076,0.426098,1.34,7.30048,BRA2,Testing,2024,0.5726637402652882,0.5691968333306882,0.5709302867979883
15,Guilherme Xavier,Amazonas,Amazonas,"DMF, LCMF",DMF,7,29,100000,2024-12-31,12,853,Brazil,Brazil,left,170,73,no,5.28,2.85,0.845672,1.580706,9.497016,3.69455,0.21,1.690551,0.0,0.53,3.79936,BRA2,Testing,2024,0.04597626070000803,0.06062614313073335,0.0533012019153707
