Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Juninho,América Mineiro,América Mineiro,"RCMF, AMF",RCMF,8,37,250000,2024-12-31,33,3092,Brazil,Brazil,right,170,66,no,5.12,2.59336,0.6409220000000001,2.938878,2.39,0.322178,0.52,0.11,0.07,0.82,3.49245,0.84,0.9324840000000001,BRA2,Testing,2024,0.1308938753302617,0.1965610232448406,0.1637274492875511
1,Geovane,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,300000,2024-12-15,24,1590,Brazil,Brazil,right,179,80,no,6.62,2.774874,2.604504,4.814063999999999,0.57,0.451406,0.06,0.03,0.06,0.62,4.757766,0.06,0.225432,BRA2,Testing,2024,0.2918959678518174,0.3407310095444025,0.31631348869811
2,Willian Farias,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,200000,2024-12-31,23,1266,Brazil,"Brazil, Italy",right,177,82,no,6.11,3.767694,2.418551,4.196549999999999,0.07,0.2125,0.36,0.03,0.02,0.85,4.480875,0.57,0.568,BRA2,Testing,2024,0.3927375156193125,0.3783919221137669,0.3855647188665398
3,Rodrigo Lindoso,Operário PR,Operário PR,"LCMF, DMF, RCMF",LCMF,8,35,200000,2024-12-31,15,970,Brazil,Brazil,right,182,79,no,6.87,1.765,3.431615,3.989462999999999,0.28,0.368,0.84,0.01,0.01,0.37,4.914359999999999,0.19,0.46359,BRA2,Testing,2024,0.1661284178121807,0.2263866138437822,0.1962575158279815
4,Marlon,Grêmio Novorizontino,Grêmio Novorizontino,LCMF,LCMF,8,34,300000,2024-12-31,31,2480,Brazil,Brazil,right,175,76,no,5.88,3.373068,1.632,3.227791,0.69,0.470352,0.58,0.1,0.07,0.58,3.01252,0.51,0.8,BRA2,Testing,2024,0.2044175218158298,0.2076504801424836,0.2060340009791568
5,Camacho,Guarani,Guarani,"LCMF, LDMF, RCMF",LCMF,8,34,300000,2024-11-30,10,790,Brazil,Brazil,right,181,73,no,7.97,3.76,2.621829,5.012766,1.03,0.5714400000000001,1.03,0.02,0.03,0.68,6.376,0.68,1.138118,BRA2,Testing,2024,0.6173873884171974,0.6194956831564338,0.6184415357868156
6,Marcão,Goiás,Goiás,"RCMF, LCMF, LDMF",RCMF,8,33,200000,2024-11-30,30,2659,Brazil,Brazil,right,183,80,no,6.79,3.731147,0.9486100000000001,1.725543,1.16,0.42354,0.28,0.14,0.01,0.25,2.42352,0.07,0.035725,BRA2,Testing,2024,0.0,0.0,0.0
7,Filipe Soutto,Botafogo SP,Botafogo SP,"LCMF, DMF",LCMF,8,33,50000,2024-12-10,19,730,Brazil,Brazil,left,178,70,no,8.14,3.325139999999999,1.356642,4.683986999999999,0.37,0.1225,0.12,0.06,0.04,0.86,4.311813,0.37,0.369963,BRA2,Testing,2024,0.3362349420299802,0.3561282901156745,0.3461816160728274
8,F. Elizari,América Mineiro,América Mineiro,"LCMF, LDMF",LCMF,8,33,350000,2025-12-31,15,1071,Argentina,Argentina,right,173,72,no,3.11,2.098824,0.757042,4.537909999999999,1.85,1.2625,1.18,0.13,0.1,1.18,4.116168,1.76,1.849375,BRA2,Testing,2024,0.4292973806637242,0.4541972360394207,0.4417473083515726
9,Richardson,Ceará,Ceará,"RCMF, LDMF, DMF",RCMF,8,33,300000,2024-12-31,21,1294,Brazil,Brazil,right,174,74,no,7.58,4.381155000000001,2.154639,5.07654,0.77,1.042878,1.67,0.06,0.03,0.63,6.539676000000001,0.42,0.555852,BRA2,Testing,2024,0.6640248223738212,0.6551392636993975,0.6595820430366094
10,Igor Henrique,Vila Nova,Vila Nova,"RCMF, AMF, CF",RCMF,8,32,200000,2025-12-31,23,1837,Brazil,Brazil,right,183,74,no,5.98,3.82398,1.32,3.86928,1.81,0.9309999999999999,1.22,0.09,0.06,0.39,3.7255,0.88,0.8305469999999999,BRA2,Testing,2024,0.362444193374148,0.3742899469277253,0.3683670701509367
11,L. Mugni,Ceará,Ceará,"LCMF, CF, AMF",LCMF,8,32,300000,2024-12-31,28,1644,Argentina,"Argentina, Italy",left,183,79,no,7.94,4.159046,2.132784,5.526003,1.64,1.042198,1.2,0.04,0.21,1.86,4.437643,1.31,2.465,BRA2,Testing,2024,0.7911978609893165,0.776355889847635,0.783776875418476
12,Diego Pituca,Santos,Santos,"RCMF, RDMF, LCMF",RCMF,8,32,1600000,2027-12-31,33,3109,Brazil,Brazil,left,178,69,no,7.61,3.619458,2.747787,6.831271999999999,0.61,0.261,0.93,0.09,0.04,0.61,7.176175999999999,0.69,1.070461,BRA2,Testing,2024,0.845275290884565,0.7863716893786014,0.8158234901315833
13,J. Jiménez,Amazonas,Amazonas,"LCMF, LDMF, RCMF",LCMF,8,31,100000,2024-12-31,22,1446,Paraguay,Paraguay,right,181,80,no,10.71,5.164159000000001,1.368864,5.350533,0.44,0.25,0.31,0.03,0.0,0.25,4.483736,0.06,0.126673,BRA2,Testing,2024,0.599868692263742,0.530271263650459,0.5650699779571005
