Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Ameaça_Ofensiva,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Robinho,Paysandu,Paysandu,"AMF, RAMF, RW",AMF,9,36,200000,2024-11-30,18,875,Brazil,Brazil,right,175,70,no,2.47,13.782528,8.745474,2.058498,1.23,0.413292,0.09,0.411408,0.125,0.21,2.16,7.404683,0.206677,0.206646,1.13,0.41,2.776896,BRA2,Testing,2024,0.9513597144692879,0.9137349497386738,0.9325473321039808
1,Giovanni Augusto,Chapecoense,Chapecoense,"AMF, CF",AMF,9,35,300000,2025-04-30,25,1416,Brazil,Brazil,right,177,71,no,2.291513,8.072822,5.529265000000001,3.748382,1.72,1.334016,0.1,0.44625,0.09803921568627451,0.26,2.1,6.163782000000001,0.0,0.19089,1.14,0.57,1.779065,BRA2,Testing,2024,0.7490846912497686,0.734066313201853,0.7415755022258108
2,Giuliano,Santos,Santos,"AMF, CF",AMF,9,34,900000,2024-12-31,26,2148,Brazil,Brazil,right,174,68,no,0.672,7.124206999999999,3.225612,1.549146,2.05,0.46312,0.26,0.630042,0.1768707482993197,0.05,1.09,4.737677,0.0,0.0,1.01,0.17,1.008,BRA2,Testing,2024,0.5703509186657515,0.444148996682613,0.5072499576741822
3,Élvis,Ponte Preta,Ponte Preta,"AMF, CF",AMF,9,34,350000,2024-12-31,29,2377,Brazil,Brazil,right,175,73,no,4.73244,9.744480000000001,7.732800000000001,1.42029,0.47,0.6722489999999999,0.16,0.5124160000000001,0.1194029850746269,0.25,2.25,7.260157,0.157353,0.9059419999999999,1.54,0.75,2.366856,BRA2,Testing,2024,1.0,1.0,1.0
4,Josué,Coritiba,Coritiba,"AMF, CF",AMF,9,34,600000,2025-12-31,10,721,Portugal,Portugal,left,174,75,no,2.743704,12.359145,5.866496000000001,2.495288,0.87,0.625,0.15,0.124533,0.1094890510948905,0.14,2.37,7.8624,0.3728819999999999,0.124323,0.37,0.25,0.748534,BRA2,Testing,2024,0.5868849217991731,0.5236175611336651,0.555251241466419
5,Serginho,Santos,Santos,"AMF, RCMF, CF",AMF,9,33,0,2024-12-31,18,960,Brazil,Brazil,right,166,62,yes,1.407636,6.279546,3.938725,2.8128,2.72,0.940047,0.13,1.031175,0.05777777777777778,0.13,1.59,4.220026999999999,0.0,0.0,0.56,0.75,1.221109,BRA2,Testing,2024,0.569794381547271,0.6400453114122941,0.6049198464797825
6,Marlone,Chapecoense,Chapecoense,"AMF, LCMF, CF",AMF,9,32,250000,2024-12-31,22,1081,Brazil,Brazil,right,180,76,no,2.912612,7.242311999999999,4.328202,1.998472,0.67,0.5815800000000001,0.11,0.9166,0.055,0.15,1.33,6.661007999999999,0.0,0.0,0.17,0.0,0.334269,BRA2,Testing,2024,0.5017653552192944,0.4457227433767058,0.4737440492980001
7,J. Cazares,Paysandu,Paysandu,"AMF, CF",AMF,9,32,500000,2024-12-31,15,902,Ecuador,Ecuador,right,171,63,no,2.403041,8.363835,6.378380999999999,1.883697,1.36,0.9375,0.07,0.523498,0.03932584269662922,0.26,2.93,5.961501000000001,0.21,0.416,0.84,0.63,1.1484,BRA2,Testing,2024,0.7562770294617563,0.6320880824989215,0.6941825559803387
8,Luciano Naninho,Vila Nova,Vila Nova,"AMF, CF, LCMF",AMF,9,32,150000,2025-06-30,18,799,Brazil,Brazil,right,172,68,no,2.593934,10.36288,7.773260000000001,3.49272,0.79,1.35009,0.07,0.450864,0.05645161290322581,0.16,2.59,5.965948,0.450864,1.241406,1.8,0.79,2.592592,BRA2,Testing,2024,0.8570105553652992,0.9380570698907029,0.897533812628001
9,C. Ortiz,Sport Recife,Sport Recife,"AMF, CF, LCMF",AMF,9,32,700000,2024-12-31,27,1890,Argentina,Argentina,right,169,68,no,2.045619,6.094332,3.7128,2.096199,1.9,0.714744,0.15,0.7609840000000001,0.07009345794392523,0.17,1.38,3.619,0.05,0.141804,1.14,0.19,1.24,BRA2,Testing,2024,0.6228183325230104,0.5752448407267512,0.5990315866248808
