Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Waguininho,Grêmio Novorizontino,Grêmio Novorizontino,"RW, LW, LWB",RW,10,34,250000,2024-12-31,28,2205,Brazil,Brazil,right,177,75,no,6.41,3.020868,3.837000000000001,2.81424,2.653856,0.11,0.06,BRA2,Testing,2024,0.3683605400806369,0.3652200439533281,0.3649212026247816
1,João Paulo,Avaí,Avaí,"RW, AMF, RAMF",RW,10,34,400000,2025-12-31,19,1099,Brazil,Brazil,right,169,59,no,7.62,4.2588,7.614357999999999,3.109754999999999,4.587807999999999,0.18,0.04,BRA2,Testing,2024,0.6527571674767062,0.7041671861786588,0.6775130711413577
2,Lucas Lima,Sport Recife,Sport Recife,"RW, RAMF, CF",RW,10,34,600000,2025-04-30,31,2847,Brazil,Brazil,left,176,70,yes,4.74,3.411029999999999,10.589397,7.5225,3.6652,0.03,0.23,BRA2,Testing,2024,1.0,1.0,1.0
3,Jean Dias,Paysandu,Paysandu,"RAMF, LAMF, RW",RAMF,10,34,350000,2024-12-31,26,1481,Brazil,Brazil,right,170,66,no,4.13,2.245886,4.4343,4.556725000000001,5.227992,0.14,0.13,BRA2,Testing,2024,0.5588447213471874,0.5409416967099808,0.5485645973257692
4,Chico Kim,Mirassol,Mirassol,"RWF, RW, LW",RWF,11,33,350000,2024-12-31,32,1787,Brazil,"Brazil, Korea Republic",right,175,69,no,7.15,3.755878,5.246486,2.932209,3.703904,0.06,0.14,BRA2,Testing,2024,0.5399817213390237,0.6044765237551543,0.5709664413227494
5,Diego Tavares,Brusque,Brusque,"RW, CF, RWB",RW,10,33,100000,2024-12-31,27,1030,Brazil,Brazil,right,175,74,no,4.72,2.797072,3.497197,2.446176,3.933,0.11,0.11,BRA2,Testing,2024,0.2838014029534056,0.2944655738285703,0.2870351739789244
6,Felipe Augusto,Operário PR,Operário PR,"RAMF, RWF, CF",RAMF,10,32,100000,2024-11-15,21,1399,Brazil,Brazil,right,183,82,no,3.28,1.609872,1.99652,1.675504,2.95872,0.22,0.16,BRA2,Testing,2024,0.0,0.0304658965602459,0.01232614248268561
7,Rómulo Otero,Santos,Santos,"RW, RAMF, LW",RW,10,31,800000,2024-12-31,33,2070,Venezuela,Venezuela,right,166,70,no,6.22,3.7846,5.174298,3.480999,5.520984000000001,0.13,0.15,BRA2,Testing,2024,0.6866539661793248,0.6616024330802056,0.6731663010397554
8,Wellington Silva,Sport Recife,Sport Recife,"LW, LAMF, CF",LW,10,31,400000,2024-12-31,17,897,Brazil,"Brazil, Spain",right,170,64,yes,4.11,2.305107,3.312,2.106484,3.109158,0.15,0.14,BRA2,Testing,2024,0.1915641918020355,0.2040443555492175,0.1954363764314136
9,Pedro Castro,Avaí,Avaí,"RW, RCMF",RW,10,31,400000,2024-11-30,24,1859,Brazil,Brazil,right,180,79,no,7.55,3.823268000000001,7.116469,3.534492,2.08296,0.11,0.1,BRA2,Testing,2024,0.7492497817089641,0.6973752153511366,0.7224957806758667
10,Mike,CRB,CRB,"RAMF, RW, CF",RAMF,10,31,500000,2024-12-31,26,1035,Brazil,Brazil,left,174,67,no,4.35,1.73679,3.303216,1.913913,4.261,0.25,0.1,BRA2,Testing,2024,0.1818391597819618,0.14954322316602,0.163228503798524
11,Iago Dias,Ponte Preta,Ponte Preta,"LAMF, CF, LW",LAMF,10,31,300000,2024-11-30,28,1620,Brazil,Brazil,right,175,74,no,4.24,2.325188,2.792292999999999,1.746,3.601488,0.12,0.07,BRA2,Testing,2024,0.08395681823340842,0.09123139638541941,0.08490089500721819
12,William Pottker,Avaí,Avaí,"RW, RAMF, CF",RW,10,30,900000,2025-12-31,19,838,Brazil,Brazil,left,182,93,no,5.26,2.47147,3.21948,2.359246,5.477817,0.14,0.03,BRA2,Testing,2024,0.2786748730214452,0.2687944054800868,0.2715908709784454
13,Pablo Dyego,Grêmio Novorizontino,Grêmio Novorizontino,"RW, RWF, LWF",RW,10,30,300000,2024-12-31,15,783,Brazil,Brazil,right,174,66,no,8.28,4.59977,2.527168,1.376888,2.760023,0.16,0.07,BRA2,Testing,2024,0.3275347525788828,0.3324520297219158,0.3280156857717273
14,Paulinho Moccelin,Brusque,Brusque,"LW, CF",LW,10,30,350000,2025-12-31,29,1859,Brazil,Brazil,right,169,62,no,6.56,3.427285,3.57408,3.867336,3.134231999999999,0.05,0.23,BRA2,Testing,2024,0.589577961939457,0.5795700554328547,0.5833477667258382
15,Neto Pessôa,Grêmio Novorizontino,Grêmio Novorizontino,"LW, LWF, CF",LW,10,30,250000,2024-12-31,33,2274,Brazil,Brazil,left,182,79,no,4.91,2.372655,1.7424,1.542996,1.740008,0.19,0.09,BRA2,Testing,2024,0.01450503523757787,0.03711107616476061,0.02293246518810432
16,Douglas Baggio,Botafogo SP,Botafogo SP,"RW, LW, RWF",RW,10,29,750000,2024-11-30,32,2734,Brazil,Brazil,right,172,71,no,3.88,2.504344,4.248222,2.700757,6.585901,0.14,0.12,BRA2,Testing,2024,0.3960800719625358,0.3996566542226847,0.3960910090169169
17,Maxwell,Operário PR,Operário PR,"LW, LAMF, LWF",LW,10,29,100000,2024-12-31,26,1848,Brazil,Brazil,right,180,68,no,6.24,3.50328,3.345507,3.095241,5.02425,0.2,0.08,BRA2,Testing,2024,0.5173221670936156,0.516841267584827,0.5156562536610091
18,Éverton Brito,Ponte Preta,Ponte Preta,"RAMF, LAMF, RW",RAMF,10,29,200000,2024-12-31,16,1008,Brazil,Brazil,right,170,66,no,6.77,4.045458,5.738237000000001,3.758406,4.2306,0.03,0.07,BRA2,Testing,2024,0.7876755971706227,0.7402347428094986,0.7632584199524455
19,Guilherme,Santos,Santos,"LAMF, LW",LAMF,10,29,1000000,2026-12-31,28,2530,Brazil,Brazil,left,180,65,no,6.15,3.022943,4.800935999999999,4.7348,4.376268,0.34,0.16,BRA2,Testing,2024,0.6777807552197872,0.6738178392095369,0.6748423313202977
20,Marcinho,Chapecoense,Chapecoense,"LAMF, LW",LAMF,10,29,50000,2025-12-31,30,2489,Brazil,Brazil,right,176,75,no,6.07,3.254384,3.396714,3.291022,3.869692000000001,0.12,0.11,BRA2,Testing,2024,0.4954315082660772,0.4964752221158405,0.4944655354776446
21,Victor Andrade,Botafogo SP,Botafogo SP,"LW, LWF, CF",LW,10,29,0,2024-12-31,13,1156,Brazil,Brazil,right,178,72,no,3.5,1.869161,2.336178,2.650272000000001,10.507392,0.19,0.18,BRA2,Testing,2024,0.2557268555034931,0.2661503936880367,0.2587570854318225
22,F. Labandeira,CRB,CRB,"RW, RAMF, RWF",RW,10,28,500000,2024-12-31,20,1006,Uruguay,Uruguay,right,173,68,no,6.35,3.934368,4.296769,2.414064,2.504908,0.2,0.05,BRA2,Testing,2024,0.4626858090307741,0.4589335745321365,0.4592181260288091
23,Bruno Xavier,Ituano,Ituano,"RWF, RAMF, LW",RWF,11,27,50000,2024-12-31,25,1664,Brazil,Brazil,right,178,71,no,3.14,1.40513,2.491775,2.053548,1.18947,0.22,0.06,BRA2,Testing,2024,0.03398501078776067,0.01019102640046762,0.01920144738727948
24,Ronald,Operário PR,Operário PR,"RW, RAMF, RWF",RW,10,27,300000,2024-12-31,26,1408,Brazil,Brazil,left,162,60,no,3.85,2.611856,2.617083,2.20101,5.159988999999999,0.13,0.16,BRA2,Testing,2024,0.25695434465644,0.2548171780998446,0.2536893073243597
25,Maurício Garcez,Avaí,Avaí,"LW, LAMF, RW",LW,10,27,1000000,2027-12-31,30,2493,Brazil,Brazil,right,183,71,no,4.8,2.311623,2.1651,1.370404,3.031236,0.16,0.05,BRA2,Testing,2024,0.005886165307126962,0.0,0.0
26,Fabrício Daniel,Grêmio Novorizontino,Grêmio Novorizontino,"RW, CF, RWF",RW,10,27,600000,2024-12-31,21,1166,Brazil,Brazil,left,182,80,yes,3.47,1.38861,4.245299999999999,2.9336,5.86795,0.17,0.07,BRA2,Testing,2024,0.2980031668458056,0.2864082965597375,0.2901164858462149
27,Dentinho,Brusque,Brusque,"RW, LW, LAMF",RW,10,27,0,,23,1696,Brazil,Brazil,left,183,75,no,5.57,2.80984,4.403284,2.070992,3.979284,0.11,0.02,BRA2,Testing,2024,0.2843091661016874,0.3049674012904905,0.2925562181734238
28,Fernandinho,Mirassol,Mirassol,"LW, LWF, LAMF",LW,10,27,400000,2024-11-30,30,2318,Brazil,Brazil,right,175,70,no,6.02,3.8272,2.352999,2.271369,7.574175,0.12,0.17,BRA2,Testing,2024,0.4045488732995912,0.4293268335807674,0.4152167881131801
29,Marlon,Guarani,Guarani,"LW, CF",LW,10,27,350000,2025-06-30,20,801,Brazil,Brazil,right,175,69,yes,5.51,3.482558,3.485621000000001,2.694216,4.380034999999999,0.15,0.07,BRA2,Testing,2024,0.430959166477194,0.420779466225523,0.4241746146482482
30,B. Borasi,Paysandu,Paysandu,"LAMF, RAMF, LW",LAMF,10,26,0,2025-06-30,13,1032,Argentina,Argentina,right,171,61,yes,6.45,3.751253999999999,3.403584,2.00498,4.011392,0.18,0.02,BRA2,Testing,2024,0.3879473004264525,0.3775047210567296,0.380903959925157
31,Matheus Serafim,Amazonas,Amazonas,"LW, RW, LAMF",LW,10,26,0,2026-12-31,32,2848,Brazil,Brazil,right,178,70,no,4.14,2.213799,2.973675000000001,2.748936,6.697319999999999,0.19,0.1,BRA2,Testing,2024,0.3156173023613232,0.3160273269380723,0.3138027795131595
32,Paulinho Bóia,Paysandu,Paysandu,"LAMF, RAMF, RW",LAMF,10,26,700000,2024-12-31,14,821,Brazil,Brazil,right,171,64,no,4.93,2.193986,4.496002999999999,3.07125,7.124579000000001,0.2,0.05,BRA2,Testing,2024,0.4233477600937006,0.4146921301411759,0.4173050256460987
33,Leozinho,Ituano,Ituano,"RW, RAMF, RWF",RW,10,25,0,,27,1258,Brazil,Brazil,left,173,60,no,2.5,1.64373,4.93644,3.8664,5.292920000000001,0.27,0.02,BRA2,Testing,2024,0.4201620936478203,0.407515449180113,0.4121085583097496
34,Airton,Guarani,Guarani,"LW, RAMF, LAMF",LW,10,25,350000,2024-12-31,20,1498,Brazil,Brazil,right,178,75,yes,3.85,2.160132,2.280096,1.020096,5.224209000000001,0.23,0.07,BRA2,Testing,2024,0.03432547888649953,0.004972753634663762,0.01675534597511197
