Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Waguininho,Grêmio Novorizontino,Grêmio Novorizontino,"RW, LW, LWB",RW,10,34,250000,2024-12-31,28,2205,Brazil,Brazil,right,177,75,no,2.653856,1.67,0.7345999999999999,0.16,2.45,0.11,0.408,16.0,0.06,0.94,0.2,0.73,0.29,BRA2,Testing,2024,0.5663770191189058,0.5247981069214467,0.5520458061757446
1,João Paulo,Avaí,Avaí,"RW, AMF, RAMF",RW,10,34,400000,2025-12-31,19,1099,Brazil,Brazil,right,169,59,no,4.587807999999999,1.39,1.801638,0.25,0.49,0.18,0.408799,5.882,0.04,0.74,0.57,0.25,0.25,BRA2,Testing,2024,0.3549380274562517,0.3466535160185035,0.3549482204832473
2,Lucas Lima,Sport Recife,Sport Recife,"RW, RAMF, CF",RW,10,34,600000,2025-04-30,31,2847,Brazil,Brazil,left,176,70,yes,3.6652,1.83,1.36059,0.22,2.15,0.03,0.189,5.0,0.23,1.71,1.9,1.42,0.66,BRA2,Testing,2024,0.792571153749474,0.7356038975528953,0.773132202193068
3,Jean Dias,Paysandu,Paysandu,"RAMF, LAMF, RW",RAMF,10,34,350000,2024-12-31,26,1481,Brazil,Brazil,right,170,66,no,5.227992,1.7,3.280164,0.55,1.7,0.14,0.669645,11.765,0.13,1.28,0.79,1.34,0.3,BRA2,Testing,2024,0.7947116449204095,0.7179677668797443,0.765292669750415
4,Chico Kim,Mirassol,Mirassol,"RWF, RW, LW",RWF,11,33,350000,2024-12-31,32,1787,Brazil,"Brazil, Korea Republic",right,175,69,no,3.703904,1.39,1.181302,0.62,1.49,0.06,0.257148,0.0,0.14,1.54,0.72,0.51,0.31,BRA2,Testing,2024,0.3621770420729022,0.3268456986363618,0.3485894292225648
5,Diego Tavares,Brusque,Brusque,"RW, CF, RWB",RW,10,33,100000,2024-12-31,27,1030,Brazil,Brazil,right,175,74,no,3.933,1.83,2.183084,0.96,1.66,0.11,0.525,0.0,0.11,0.7,0.44,0.79,0.44,BRA2,Testing,2024,0.5655925400518291,0.4896096529633834,0.5338464297984324
6,Felipe Augusto,Operário PR,Operário PR,"RAMF, RWF, CF",RAMF,10,32,100000,2024-11-15,21,1399,Brazil,Brazil,right,183,82,no,2.95872,2.51,1.868295,0.19,1.8,0.22,0.8352499999999999,5.0,0.16,2.06,0.39,0.77,0.39,BRA2,Testing,2024,0.6683723217896951,0.7404928828146484,0.7127711300486499
7,Rómulo Otero,Santos,Santos,"RW, RAMF, LW",RW,10,31,800000,2024-12-31,33,2070,Venezuela,Venezuela,right,166,70,no,5.520984000000001,1.3,2.696512,0.39,1.0,0.13,1.087156,4.545,0.15,1.48,0.74,0.78,0.35,BRA2,Testing,2024,0.6353392964569262,0.6318159489521857,0.6410774240612845
8,Wellington Silva,Sport Recife,Sport Recife,"LW, LAMF, CF",LW,10,31,400000,2024-12-31,17,897,Brazil,"Brazil, Spain",right,170,64,yes,3.109158,2.71,1.704642,0.2,1.91,0.15,0.402717,13.333,0.14,0.7,0.5,0.9,0.3,BRA2,Testing,2024,0.6465633107758203,0.6067711229239403,0.6340852181724107
9,Pedro Castro,Avaí,Avaí,"RW, RCMF",RW,10,31,400000,2024-11-30,24,1859,Brazil,Brazil,right,180,79,no,2.08296,0.63,0.582164,0.19,0.63,0.11,0.29,8.333,0.1,1.07,0.39,0.34,0.19,BRA2,Testing,2024,0.4362238328113042,0.3596101601639307,0.402627229808965
10,Mike,CRB,CRB,"RAMF, RW, CF",RAMF,10,31,500000,2024-12-31,26,1035,Brazil,Brazil,left,174,67,no,4.261,2.78,1.477224,0.26,1.39,0.25,0.696,5.0,0.1,0.96,0.43,0.52,0.17,BRA2,Testing,2024,0.6147004973106412,0.5928634642016354,0.6109290843724456
11,Iago Dias,Ponte Preta,Ponte Preta,"LAMF, CF, LW",LAMF,10,31,300000,2024-11-30,28,1620,Brazil,Brazil,right,175,74,no,3.601488,2.21,2.150148,0.35,1.57,0.12,0.290625,12.5,0.07,0.52,0.35,0.7,0.41,BRA2,Testing,2024,0.5305156477121558,0.4910844562546853,0.5168465075172024
12,William Pottker,Avaí,Avaí,"RW, RAMF, CF",RW,10,30,900000,2025-12-31,19,838,Brazil,Brazil,left,182,93,no,5.477817,2.26,4.186,1.29,1.4,0.14,0.8611980000000001,0.0,0.03,0.43,1.18,0.86,0.32,BRA2,Testing,2024,0.4607928521049394,0.4661979804046238,0.4689819161359272
13,Pablo Dyego,Grêmio Novorizontino,Grêmio Novorizontino,"RW, RWF, LWF",RW,10,30,300000,2024-12-31,15,783,Brazil,Brazil,right,174,66,no,2.760023,2.3,1.49179,0.34,1.72,0.16,0.69,8.333,0.07,0.8,0.57,0.57,0.23,BRA2,Testing,2024,0.6450806542075785,0.5918250422051649,0.6257736141927892
14,Paulinho Moccelin,Brusque,Brusque,"LW, CF",LW,10,30,350000,2025-12-31,29,1859,Brazil,Brazil,right,169,62,no,3.134231999999999,2.06,1.76436,0.59,1.66,0.05,0.196,5.0,0.23,1.96,0.93,1.22,0.78,BRA2,Testing,2024,0.7515446160783439,0.7364249965668173,0.752791522437372
