Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Vágner Love,Avaí,Avaí,CF,CF,12,40,150000,2025-05-31,20,1370,Brazil,Brazil,right,172,72,no,2.102176,0.722399,0.33,0.18,0.328578,9.524,0.7222222222222223,0.1304347826086956,0.15,1.05,0.92,0.33,1.179,BRA2,Testing,2024,0.7088145130562522,0.6775520484859011,0.7131564659914313
1,Willian,Santos,Santos,"CF, RAMF",CF,12,37,250000,2024-12-31,26,1092,Brazil,Brazil,right,171,78,no,1.56718,0.329967,0.08,0.3,0.7434700000000001,21.739,1.366666666666667,0.1578947368421053,0.04,0.41,0.49,0.08,0.4971179999999999,BRA2,Testing,2024,0.7646297358243019,0.7910857710995041,0.8002707247726094
2,Anselmo Ramon,CRB,CRB,CF,CF,12,36,150000,2025-12-31,34,3017,Brazil,Brazil,right,182,77,no,2.477472,0.74356,0.06,0.27,0.506695,19.231,1.111111111111111,0.1741935483870968,0.06,0.84,0.81,0.39,0.8055,BRA2,Testing,2024,0.7987545882763152,0.8085672941453754,0.8268173982092214
3,Thiago Galhardo,Goiás,Goiás,"CF, LW",CF,12,35,800000,2025-12-31,23,1818,Brazil,"Brazil, Italy",right,183,77,yes,2.722818,0.8909999999999999,0.45,0.33,1.13883,12.195,0.7575757575757576,0.1625615763546798,0.1,0.69,0.69,0.25,0.641954,BRA2,Testing,2024,0.8658251248541955,0.8845367266805491,0.9003981391892377
4,Leandro Damião,,Coritiba,CF,CF,12,35,600000,,12,826,Brazil,Brazil,right,188,90,no,1.198119,0.22,0.33,0.23,0.10875,12.5,0.4782608695652174,0.264367816091954,0.06,0.65,1.2,0.33,0.6525,BRA2,Testing,2024,0.6438429603723694,0.6733839137612706,0.6775905366767776
5,Julio Furch,Santos,Santos,CF,CF,12,35,700000,2025-06-30,25,1250,Argentina,Argentina,right,188,88,no,2.01705,0.216,0.0,0.33,0.7208910000000001,12.5,0.6666666666666666,0.1907514450867052,0.07,1.01,0.79,0.58,0.288,BRA2,Testing,2024,0.6454435501694544,0.6975005730194958,0.6908196659417718
6,Nicolas,Paysandu,Paysandu,CF,CF,12,35,250000,2024-11-30,27,2240,Brazil,Brazil,right,180,77,no,2.128959,0.240016,0.0,0.24,0.604444,8.824,0.5,0.1751824817518248,0.02,0.48,0.64,0.08,0.240016,BRA2,Testing,2024,0.3779150864534712,0.3992997788681436,0.3998046563184623
7,Lucca,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,34,300000,2024-11-30,24,1114,Brazil,Brazil,right,178,72,no,2.504172,0.8058340000000002,0.08,0.31,0.8879539999999999,17.857,1.290322580645161,0.1371681415929204,0.01,0.24,0.16,0.0,0.24,BRA2,Testing,2024,0.6611623190875783,0.6768849225244027,0.6883006764791831
8,Guilherme Queiróz,Brusque,Brusque,CF,CF,12,34,100000,2024-12-31,21,1331,Brazil,Brazil,right,179,75,no,1.689146,0.94836,0.41,0.14,0.26944,10.526,1.0,0.109375,0.01,0.47,0.47,0.14,0.33633,BRA2,Testing,2024,0.543931045246203,0.5451887123802546,0.5602506717461045
9,D. Torres,Amazonas,Amazonas,"CF, AMF, LCMF",CF,12,33,100000,2024-12-31,29,1944,Argentina,Argentina,left,174,70,no,1.06533,0.093324,0.05,0.1,0.418032,3.226,0.5,0.06944444444444445,0.21,1.94,0.97,0.19,1.155648,BRA2,Testing,2024,0.2253058389991059,0.3297519218634783,0.2855255183863879
10,Rafael Tavares,Amazonas,Amazonas,"CF, AMF",CF,12,33,100000,2024-12-31,25,1342,Brazil,Brazil,left,175,73,no,3.019455,0.468495,0.13,0.09,0.603,3.333,0.7777777777777779,0.04477611940298508,0.05,0.74,1.41,0.13,1.275815,BRA2,Testing,2024,0.3305171094915016,0.4090544495507921,0.3804406814368614
