Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Diogo Silva,Paysandu,Paysandu,GK,GK,0,38,150000,2024-11-30,19,1956,Brazil,Brazil,right,192,81,no,0.32375,15.229646,4.095534,4.00348,70.24,0.123,1.15,1.52,0.09448818897637801,3.365217391304348,BRA2,Testing,2024,0.6271176070963738,0.5555352152977876,0.5913264111970806
1,Matheus Cavichioli,Chapecoense,Chapecoense,GK,GK,0,38,100000,2024-11-30,20,1945,Brazil,"Brazil, Italy",right,192,103,no,0.3733379999999999,11.106531,4.812428,3.837854,80.0,0.142,2.41,2.27,0.153061224489796,5.012048192771084,BRA2,Testing,2024,0.974045925714116,0.9747282397886982,0.9743870827514071
2,Matheus Nogueira,Brusque,Brusque,GK,GK,0,38,100000,2024-11-30,34,3410,Brazil,Brazil,right,190,84,no,0.636939,6.778902,2.983521,3.033966,74.5,0.037,2.22,1.29,0.03846153846153855,3.93,BRA2,Testing,2024,0.835136845682173,0.805182485706055,0.8201596656941139
3,João Carlos,Botafogo SP,Botafogo SP,GK,GK,0,36,100000,2024-11-30,22,2222,Brazil,Brazil,right,191,92,no,0.4484860000000001,10.328454,3.809421,3.080154,71.26,-0.037,1.5,2.35,-0.03061224489795911,3.485148514851485,BRA2,Testing,2024,0.6575064298798718,0.627540436408388,0.6425234331441299
4,Rafael Santos,Operário PR,Operário PR,GK,GK,0,35,100000,2024-11-30,29,2931,Brazil,Brazil,right,191,82,no,0.225562,16.7534,4.294627,3.468816,77.53,0.105,1.27,1.24,0.1351351351351351,4.421875,BRA2,Testing,2024,0.7382216752257319,0.7117599628229309,0.7249908190243314
5,Vladimir,Guarani,Guarani,GK,GK,0,35,200000,2025-12-31,22,2210,Brazil,Brazil,right,191,93,yes,0.2,10.226615,2.605395,2.196397,61.25,-0.342,0.9,0.69,-0.3695652173913042,2.587301587301587,BRA2,Testing,2024,0.0,0.0,0.0
6,Alex Muralha,Mirassol,Mirassol,GK,GK,0,34,200000,2024-12-31,32,3245,Brazil,Brazil,right,188,89,no,0.341547,14.049075,1.372342,0.832128,81.15,-0.013,1.6,1.09,-0.03125,5.287878787878788,BRA2,Testing,2024,0.7281487113601987,0.7657181525890757,0.7469334319746372
7,Léo Vieira,Chapecoense,Chapecoense,GK,GK,0,34,100000,2024-12-31,12,1219,Brazil,Brazil,right,193,83,no,0.59,12.695934,3.614409,3.175295999999999,76.79,0.104,2.36,1.4,0.09433962264150952,4.302083333333333,BRA2,Testing,2024,0.9352249778956963,0.9083224876572515,0.9217737327764739
8,Richard,Ceará,Ceará,GK,GK,0,33,250000,2024-12-31,26,2533,Brazil,Brazil,right,186,83,no,0.43,9.092016,3.553285,3.273083999999999,70.83,-0.04,0.96,1.17,-0.04210526315789487,3.444444444444445,BRA2,Testing,2024,0.5225134453237527,0.4941494750240758,0.5083314601739142
9,Pegorari,Guarani,Guarani,GK,GK,0,33,200000,2024-12-31,8,816,Brazil,Brazil,right,192,85,no,0.220011,9.379199999999999,5.183208,4.297860000000001,68.97,0.208,0.88,1.21,0.1749999999999999,3.232323232323233,BRA2,Testing,2024,0.4810123874659951,0.4309673933942116,0.4559898904301033
10,Jefferson Paulino,Ituano,Ituano,GK,GK,0,32,200000,2024-12-31,29,2898,Brazil,Brazil,right,185,71,no,0.09,9.840687999999998,4.505916,3.81726,67.55,-0.128,1.02,1.09,-0.09352517985611519,3.085526315789474,BRA2,Testing,2024,0.2672331097761481,0.2364718047552954,0.2518524572657218
