Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Patric,,Amazonas,RB,RB,1,35,200000,,8,806,Brazil,Brazil,right,173,79,no,6.92,2.90256,0.7805,2.455698,5.805228,8.484046999999999,2.12,0.6708419999999999,1.34,0.6691749999999999,1.56,0.22,0.11,1.23,3.904555999999999,0.45,1.23,1.672356,BRA2,Testing,2024,0.6979021410348408,0.7166524446820025,0.7072772928584217
1,Eduardo Diniz,Ituano,Ituano,"LB, LWB",LB,1,35,0,2024-12-31,9,722,Brazil,Brazil,left,179,68,no,8.35,3.362528,0.375,3.741993,5.112592,9.346428,1.75,1.122328,0.25,0.625,0.75,0.12,0.12,0.87,2.864956,0.0,0.75,0.746592,BRA2,Testing,2024,0.3003020365169514,0.3593234632406034,0.3298127498787774
2,Fabiano,Amazonas,Amazonas,"LB, LCB",LB,1,34,100000,2024-11-30,31,2902,Brazil,Brazil,left,180,80,no,7.41,3.383637,2.262375,2.017758,5.956441,9.709364999999998,0.65,0.96052,0.47,0.4345200000000001,1.15,0.19,0.02,0.22,3.878649,0.25,0.25,0.370545,BRA2,Testing,2024,0.4699709543303385,0.4144106703104635,0.442190812320401
3,Sander,Goiás,Goiás,LB,LB,1,34,250000,2024-12-31,20,1706,Brazil,Brazil,left,176,74,no,8.57,4.36921,0.727398,1.513692,4.878468000000001,7.060676999999999,1.23,1.735125,0.67,0.505748,0.84,0.06,0.1,0.78,2.523615,0.22,0.73,0.729927,BRA2,Testing,2024,0.2481342469230811,0.2620821642034226,0.2551082055632519
4,Pacheco,Guarani,Guarani,RB,RB,1,33,200000,2024-12-31,22,1905,Brazil,Brazil,right,175,74,no,8.38,4.536252,1.14444,2.69059,8.126832,11.115858,1.55,0.9461499999999999,0.35,0.49997,1.5,0.2,0.06,0.85,3.786957000000001,0.45,1.05,1.24533,BRA2,Testing,2024,0.7421084456128977,0.7360401581444976,0.7390743018786976
5,Guilherme Lazaroni,Ituano,Ituano,LB,LB,1,31,0,2024-11-30,11,915,Brazil,Brazil,left,182,80,no,6.59,2.852476,1.6728,1.869237,5.308988,6.495543000000001,1.38,1.376706,0.49,0.491706,0.39,0.0,0.1,0.49,3.444,0.1,0.69,0.6889080000000001,BRA2,Testing,2024,0.2153339516736058,0.2567933033056001,0.2360636274896029
6,Rodrigo Soares,Grêmio Novorizontino,Grêmio Novorizontino,"RB, RWB",RB,1,31,1000000,2024-11-30,30,2065,Brazil,Brazil,right,176,73,no,7.19,4.008855000000001,0.6522560000000002,2.526186,5.712084,7.799276999999998,3.4,2.482178,0.61,1.82898,1.31,0.26,0.18,1.79,3.181794,0.39,1.31,1.481132,BRA2,Testing,2024,0.705069759820043,0.6815552383777538,0.6933124990988984
7,Alex Ruan,Brusque,Brusque,LB,LB,1,31,100000,2024-11-30,15,1205,Brazil,Brazil,left,175,68,no,7.69,3.587782,0.9710570000000002,2.015178,4.26,7.843629999999999,1.79,1.719018,0.9,0.747346,0.67,0.0,0.04,0.75,2.612722,0.37,0.82,0.897688,BRA2,Testing,2024,0.3846191706121218,0.3809043791818039,0.3827617748969628
8,Diogo Mateus,,Guarani,"RB, RCB",RB,1,31,300000,,11,826,Brazil,Brazil,right,173,67,no,6.32,3.053295,0.872,2.833404,8.2775,15.361532,2.94,1.41488,0.54,0.97875,2.29,0.65,0.08,1.42,5.338489999999999,0.11,1.63,1.742572,BRA2,Testing,2024,0.8305467042123004,0.8491082843727187,0.8398274942925095
9,Ezequiel,Amazonas,Amazonas,RB,RB,1,31,300000,2024-12-31,24,2098,Brazil,Brazil,right,178,70,no,7.29,4.544452,0.855784,1.502415,4.118262,6.523504,1.37,1.4142,0.51,0.645,1.2,0.09,0.13,1.07,2.186741,0.17,0.69,1.07142,BRA2,Testing,2024,0.1995774850885552,0.2451995342339386,0.2223885096612469
10,Matheus Ribeiro,CRB,CRB,"RB, LB",RB,1,31,300000,2024-12-31,20,1022,Brazil,"Brazil, Italy",right,178,72,no,7.93,4.490292,0.616875,1.58599,5.810875999999999,9.773166,1.76,1.232813,0.79,0.967956,0.97,0.0,0.0,0.09,3.170631999999999,0.79,0.62,1.410685,BRA2,Testing,2024,0.7029616715134476,0.6115031473451518,0.6572324094292996
11,Daniel Borges,América Mineiro,América Mineiro,RB,RB,1,31,600000,2024-12-31,16,1112,Brazil,Brazil,right,174,68,yes,10.76,7.038297,1.45585,2.265,7.93408,12.865632,2.27,2.025494,0.65,0.974142,1.38,0.32,0.11,1.38,4.937088,0.81,0.97,1.54,BRA2,Testing,2024,0.9747880829841705,0.9789303284935515,0.976859205738861
12,Igor Cariús,Sport Recife,Sport Recife,RB,RB,1,31,400000,2025-12-31,16,1176,Brazil,Brazil,left,184,79,no,10.26,5.587899999999999,2.14452,2.141632,7.116560000000001,8.568207999999998,2.22,1.607724,1.76,0.6884999999999999,1.15,0.08,0.1,0.84,2.604459,1.15,1.22,1.681398,BRA2,Testing,2024,0.7234945039798675,0.7665868254227353,0.7450406647013013
13,Dalbert,Sport Recife,Sport Recife,LB,LB,1,31,800000,2024-12-31,20,1378,Brazil,Brazil,left,181,70,no,10.97,6.531789999999998,1.8912,1.63296,5.553071999999999,9.07536,1.24,1.3725,0.52,0.392275,1.24,0.0,0.01,0.2,3.789825,0.13,0.72,0.7819420000000001,BRA2,Testing,2024,0.370348978955139,0.3980650421046,0.3842070105298695
14,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,600000,2025-12-31,29,2798,Brazil,Brazil,left,177,69,no,8.97,4.88808,0.965728,2.379472,6.87999,10.295333,2.61,3.409536,1.09,1.674024,3.67,0.58,0.08,0.87,4.178789999999999,0.71,0.77,1.380842,BRA2,Testing,2024,0.8982370405217642,0.8889426682167396,0.893589854369252
15,Lucas Ramon,Mirassol,Mirassol,RB,RB,1,30,250000,2024-12-31,33,3084,Brazil,Brazil,right,178,72,no,9.56,3.9195,1.6308,2.835546,5.425079999999999,8.22952,2.26,2.17005,0.75,1.116227,1.99,0.39,0.05,0.39,2.922956,0.12,0.93,0.994056,BRA2,Testing,2024,0.4819424654254609,0.4752081862994083,0.4785753258624346
16,Mário Sérgio,Avaí,Avaí,LB,LB,1,30,200000,2025-12-31,26,2556,Brazil,Brazil,left,179,70,no,10.39,5.386812,1.724379,1.972992,6.130570000000001,8.874,1.58,1.480258,0.95,0.881888,1.13,0.11,0.04,0.49,4.1175,0.28,0.46,0.599694,BRA2,Testing,2024,0.5346364851964158,0.5278786385804456,0.5312575618884308
