Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Ralf,Vila Nova,Vila Nova,"RCB, DMF, RDMF",RCB,4,40,150000,2024-12-31,28,2442,Brazil,Brazil,right,182,85,no,8.07,2.577973,1.254946,0.52,7.59,14.96367,BRA2,Testing,2024,0.4306248419031021,0.4367477176940714,0.4336862797985868
1,David Braz,Goiás,Goiás,"CB, LCB",CB,4,37,150000,2024-12-31,21,1744,Brazil,Brazil,right,188,88,no,7.17,2.785159999999999,1.85705,0.46,5.89,21.42024,BRA2,Testing,2024,0.2953888631187525,0.3178847403828669,0.3066368017508097
2,Gil,Santos,Santos,"LCB, RCB",LCB,4,37,300000,2024-12-31,31,3123,Brazil,Brazil,right,192,87,no,5.65,2.882997,2.705742,0.43,3.97,19.683481,BRA2,Testing,2024,0.1485124997234296,0.108789830833695,0.1286511652785623
3,Wallace,Brusque,Brusque,LCB,LCB,4,36,100000,2024-12-31,32,3130,Brazil,Brazil,right,186,76,no,7.27,2.874123000000001,1.608756,0.72,5.74,13.598336,BRA2,Testing,2024,0.2274658601784313,0.2310171337145872,0.2292414969465092
4,Rafael Donato,Grêmio Novorizontino,Grêmio Novorizontino,CB,CB,4,35,200000,2025-11-30,26,2172,Brazil,Brazil,right,193,99,no,10.57,4.310372,5.180639999999999,0.54,7.59,11.80764,BRA2,Testing,2024,0.9416847204476428,0.9347710097601263,0.9382278651038846
5,Luciano Castán,Sport Recife,Sport Recife,"LCB, RCB",LCB,4,35,300000,2024-12-31,22,1927,Brazil,"Brazil, Italy",left,187,80,no,6.87,2.942349000000001,2.05533,0.51,5.98,25.54839,BRA2,Testing,2024,0.3270405710334111,0.3301302752813667,0.3285854231573889
6,Douglas Bacelar,Guarani,Guarani,RCB,RCB,4,34,100000,2024-11-30,25,2417,Brazil,Brazil,right,190,84,no,7.07,2.236914,2.938800000000001,0.52,5.68,16.351056,BRA2,Testing,2024,0.2723394722047705,0.2800228590132744,0.2761811656090224
7,Claudinho,Ituano,Ituano,"LCB, RCB",LCB,4,34,50000,2024-12-31,29,2829,Brazil,Brazil,right,183,82,no,8.65,3.084939,2.734633,0.86,6.89,15.876234,BRA2,Testing,2024,0.6222026797860867,0.5865853310782951,0.6043940054321909
8,Tiago Pagnussat,Avaí,Avaí,"RCB, LCB",RCB,4,34,250000,2025-06-30,32,3009,Brazil,"Brazil, Italy",right,191,88,no,8.46,3.29315,4.065799999999999,0.54,6.08,21.382715,BRA2,Testing,2024,0.5933620053038285,0.5813885288160447,0.5873752670599366
9,Alemão,Operário PR,Operário PR,RCB,RCB,4,33,100000,2024-12-31,14,1215,Brazil,Brazil,right,186,76,no,5.56,1.704233,3.108222,0.3,5.74,21.781336,BRA2,Testing,2024,0.2197429413960586,0.1976802751382454,0.208711608267152
