Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Ralf,Vila Nova,Vila Nova,"RCB, DMF, RDMF",RCB,4,40,150000,2024-12-31,28,2442,Brazil,Brazil,right,182,85,no,8.07,2.577973,1.254946,3.170349,11.056848,5.677542000000001,0.5892020000000001,0.11,0.33,3.277025,BRA2,Testing,2024,0.5634565723706263,0.5375899735218272,0.5505232729462268
1,David Braz,Goiás,Goiás,"CB, LCB",CB,4,37,150000,2024-12-31,21,1744,Brazil,Brazil,right,188,88,no,7.17,2.785159999999999,1.85705,3.768352999999999,12.181135,6.139752,0.361677,0.25625,1.14,4.491355,BRA2,Testing,2024,0.7095618258069614,0.6611956480668906,0.685378736936926
2,Gil,Santos,Santos,"LCB, RCB",LCB,4,37,300000,2024-12-31,31,3123,Brazil,Brazil,right,192,87,no,5.65,2.882997,2.705742,1.4424,11.904336,3.545931,0.4052400000000001,0.084,0.06,1.413104,BRA2,Testing,2024,0.4407662846865408,0.3732370079808466,0.4070016463336937
3,Wallace,Brusque,Brusque,LCB,LCB,4,36,100000,2024-12-31,32,3130,Brazil,Brazil,right,186,76,no,7.27,2.874123000000001,1.608756,2.186006,16.213008,6.095700000000001,1.38,0.229319,1.38,3.99648,BRA2,Testing,2024,0.6565400290007246,0.6153381413359615,0.6359390851683431
4,Rafael Donato,Grêmio Novorizontino,Grêmio Novorizontino,CB,CB,4,35,200000,2025-11-30,26,2172,Brazil,Brazil,right,193,99,no,10.57,4.310372,5.180639999999999,2.985755,8.496303,4.643056000000001,0.4125,0.08,0.08,2.613006,BRA2,Testing,2024,0.9488100267072833,0.9184180841958356,0.9336140554515595
5,Luciano Castán,Sport Recife,Sport Recife,"LCB, RCB",LCB,4,35,300000,2024-12-31,22,1927,Brazil,"Brazil, Italy",left,187,80,no,6.87,2.942349000000001,2.05533,4.715745,15.2292,7.054784,0.511781,0.186676,2.01,6.027655999999999,BRA2,Testing,2024,0.7957537619204745,0.767473980947468,0.7816138714339713
6,Douglas Bacelar,Guarani,Guarani,RCB,RCB,4,34,100000,2024-11-30,25,2417,Brazil,Brazil,right,190,84,no,7.07,2.236914,2.938800000000001,1.48874,6.631,2.15874,0.297748,0.073337,0.11,0.9678149999999998,BRA2,Testing,2024,0.2196482132853549,0.2143931341834554,0.2170206737344051
7,Claudinho,Ituano,Ituano,"LCB, RCB",LCB,4,34,50000,2024-12-31,29,2829,Brazil,Brazil,right,183,82,no,8.65,3.084939,2.734633,2.89692,8.910139000000001,3.279584,0.384,0.0975,0.25,1.620957,BRA2,Testing,2024,0.5639839741235309,0.5347971294668663,0.5493905517951987
8,Tiago Pagnussat,Avaí,Avaí,"RCB, LCB",RCB,4,34,250000,2025-06-30,32,3009,Brazil,"Brazil, Italy",right,191,88,no,8.46,3.29315,4.065799999999999,3.82954,12.864768,5.776218,0.35997,0.150012,0.48,3.916824,BRA2,Testing,2024,0.9453984811374235,0.9078005931553157,0.9265995371463698
9,Alemão,Operário PR,Operário PR,RCB,RCB,4,33,100000,2024-12-31,14,1215,Brazil,Brazil,right,186,76,no,5.56,1.704233,3.108222,2.81295,15.112626,6.0,0.296478,0.075,2.37,3.779426,BRA2,Testing,2024,0.6977173430200226,0.6384999210319988,0.6681086320260108
10,Fábio Sanches,Botafogo SP,Botafogo SP,"CB, RCB",CB,4,33,250000,2024-11-30,21,1777,Brazil,Brazil,right,186,85,no,6.94,2.129352,1.77415,1.267554,6.481523999999999,1.466847,0.204424,0.0,0.05,0.403596,BRA2,Testing,2024,0.0,0.0,0.0
11,Wanderson,CRB,CRB,"LCB, RCB",LCB,4,33,250000,2024-12-31,11,723,Brazil,Brazil,right,186,83,no,8.59,3.737106,3.363917,1.61559,11.452536,3.3615,0.4977280000000001,0.123321,0.87,2.616948,BRA2,Testing,2024,0.6768135625124321,0.6824556044823675,0.6796345834973998
12,Saimon,CRB,CRB,RCB,RCB,4,33,150000,2024-12-31,20,1965,Brazil,Brazil,right,185,79,no,7.33,2.837912,3.023109,4.857354000000001,17.1315,9.205326,0.455592,0.14,1.01,6.272238000000001,BRA2,Testing,2024,0.8902628385853987,0.8815529058511355,0.8859078722182672
13,Joílson,Ponte Preta,Ponte Preta,"RCB, LCB",RCB,4,33,0,2024-12-31,15,1417,Brazil,Brazil,right,188,78,yes,8.84,4.1225,1.727544,3.188443,10.703,4.851994,0.2025,0.07,0.33,2.527408,BRA2,Testing,2024,0.6677137753894072,0.6681988149582816,0.6679562951738445
14,Edson Felipe,Goiás,Goiás,LCB,LCB,4,33,300000,2024-12-31,25,1849,Brazil,Brazil,right,183,75,no,7.45,2.579616,1.851824,2.0463,12.89618,5.547999999999999,0.683895,0.0,0.49,4.283797,BRA2,Testing,2024,0.6023627657159544,0.5340350036145942,0.5681988846652744
15,Renato Palm,Grêmio Novorizontino,Grêmio Novorizontino,"CB, LCB, RCB",CB,4,33,300000,2024-11-30,20,1657,Brazil,Brazil,right,190,89,no,9.61,3.91041,3.96264,3.58302,12.058947,5.702279999999999,0.435,0.216,0.22,2.935352,BRA2,Testing,2024,0.9669531844632727,0.946042164216669,0.9564976743399709
16,Maurício Antônio,Coritiba,Coritiba,"RCB, CB, LCB",RCB,4,32,300000,2025-12-31,25,2110,Brazil,"Brazil, Portugal",right,183,82,no,9.3,4.227019,2.51902,4.480614,14.669976,6.737511999999999,0.25716,0.08667100000000001,0.55,3.751374,BRA2,Testing,2024,0.9400661613402227,0.9256471051508635,0.9328566332455432
17,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,32,300000,2024-12-31,29,2890,Brazil,Brazil,right,190,84,no,8.07,4.108338000000001,3.144557,2.492945,13.698932,4.547886,0.625,0.096,0.06,2.61408,BRA2,Testing,2024,0.7847523282379519,0.7558691492342613,0.7703107387361068
18,Luiz Otávio,Mirassol,Mirassol,LCB,LCB,4,32,900000,2024-11-30,28,2737,Brazil,Brazil,right,194,85,no,7.61,2.015216000000001,3.1365,4.197310000000001,14.123,6.245154,0.204682,0.0,0.61,3.685014000000001,BRA2,Testing,2024,0.7470354821146461,0.7469318854790692,0.7469836837968578
19,Sérgio Raphael,Ponte Preta,Ponte Preta,LCB,LCB,4,32,0,2024-12-31,22,1989,Brazil,Brazil,right,188,84,no,8.82,3.52659,2.219525,3.34862,12.531596,4.300065,0.768112,0.4091,0.36,1.58253,BRA2,Testing,2024,0.7113994525559721,0.6840069783454474,0.6977032154507099
20,Bruno Melo,Coritiba,Coritiba,"LCB, LB",LCB,4,32,400000,2024-12-31,31,3077,Brazil,Brazil,left,186,78,yes,6.58,2.576211,1.752595,3.190474,12.985824,6.931775,0.349371,0.0575,0.38,4.010136999999999,BRA2,Testing,2024,0.5837072856190793,0.5533574758653224,0.5685323807422009
21,César Martins,Grêmio Novorizontino,Grêmio Novorizontino,"CB, RCB",CB,4,31,750000,2025-12-10,10,735,Brazil,Brazil,right,191,88,no,10.29,2.45176,3.307696,4.895079,10.90042,7.467174,1.46674,0.246679,0.49,4.0392,BRA2,Testing,2024,0.8966096065924857,0.8973747835476389,0.8969921950700623
22,Lucas Maia,Paysandu,Paysandu,LCB,LCB,4,31,800000,2024-11-30,26,2472,Brazil,Brazil,left,192,85,no,8.01,3.203946,2.2544,1.713306,13.037508,4.772803,0.036414,0.035,0.76,2.87885,BRA2,Testing,2024,0.6231268692241478,0.5884553787063518,0.6057911239652498
23,Allan Godói,Operário PR,Operário PR,RCB,RCB,4,31,100000,2024-11-15,9,760,Brazil,Brazil,right,187,81,no,7.82,4.266,2.366856,1.89357,9.826792,3.904929,1.658125,0.472,2.37,2.36739,BRA2,Testing,2024,0.6111299015777837,0.6169428845645981,0.614036393071191
24,Matheus Salustiano,Guarani,Guarani,"LCB, RCB",LCB,4,31,100000,2024-11-30,23,2291,Brazil,Brazil,right,183,76,no,8.49,3.768264,2.59464,2.27688,9.074155999999999,3.140988,0.590688,0.160008,0.2,1.804635,BRA2,Testing,2024,0.5859947836226668,0.5546149187350169,0.5703048511788419
25,Rafael Thyere,Sport Recife,Sport Recife,RCB,RCB,4,31,600000,2025-12-31,19,1922,Brazil,Brazil,right,189,86,no,6.79,2.010592,2.295506,2.809325,14.377122,6.458515000000001,0.2799719999999999,0.0,1.59,5.571166999999999,BRA2,Testing,2024,0.6654056164701385,0.6396842234805726,0.6525449199753557
26,Éverton Alemão,Brusque,Brusque,RCB,RCB,4,31,100000,2024-11-30,19,1488,Brazil,Brazil,right,185,80,no,10.89,5.264688,3.14503,2.420416,10.160472,3.810592,0.544103,0.18,0.6,2.11875,BRA2,Testing,2024,0.8017039090948275,0.8325140947245393,0.8171090019096835
27,Alisson Cassiano,Sport Recife,Sport Recife,RCB,RCB,4,30,150000,2024-12-31,10,888,Brazil,Brazil,right,187,83,no,8.31,3.851315999999999,2.939586,2.838108,15.505212,6.69075,0.204,0.0,1.62,4.963,BRA2,Testing,2024,0.8912249666285613,0.8501208959678581,0.8706729312982098
28,Jean Irmer,Ceará,Ceará,"CB, DMF, RCB",CB,4,30,400000,2024-12-31,16,723,Brazil,Brazil,right,183,80,no,10.71,3.236219999999999,2.23951,3.359224,5.849088,5.102736999999999,0.8708,0.373296,0.5,3.612192,BRA2,Testing,2024,0.7335825062267073,0.7680268194302506,0.750804662828479
29,Wanderson,Paysandu,Paysandu,RCB,RCB,4,30,100000,2024-11-30,20,1866,Brazil,Brazil,right,187,85,no,9.36,3.955116,2.750398,2.02686,10.800144,3.85782,0.725,0.19,0.63,3.180716,BRA2,Testing,2024,0.720406335185766,0.711987274069811,0.7161968046277886
30,Messias,Goiás,Goiás,RCB,RCB,4,29,600000,2025-12-31,19,1866,Brazil,Brazil,right,192,92,yes,7.08,3.105536,4.53749,2.498265,8.257509,4.58784,0.253836,0.05,0.36,3.107764,BRA2,Testing,2024,0.820548445435687,0.754847785445323,0.7876981154405052
31,Joseph,Operário PR,Operário PR,"RCB, LCB",RCB,4,29,100000,2025-11-30,18,1729,Brazil,Brazil,right,186,79,no,7.18,2.652374,0.940814,1.935272,10.217856,3.812256,0.716898,0.2785770000000001,0.99,3.145740000000001,BRA2,Testing,2024,0.2814108996537982,0.2730186665470958,0.277214783100447
32,Diogo Silva,Tianjin Tigers,Amazonas,LCB,LCB,4,29,200000,2024-11-30,14,1364,Brazil,Brazil,right,187,83,no,6.2,2.241297,1.650936,2.443009,10.884076,3.75968,0.197156,0.0,0.26,1.450824,BRA2,Testing,2024,0.2207942309551713,0.2082931451882262,0.2145436880716988
33,Matheus Costa,Botafogo SP,Botafogo SP,"RCB, LCB",RCB,4,29,300000,2025-12-31,21,1775,Brazil,"Brazil, Portugal",right,188,82,no,7.55,3.09411,2.17833,2.12745,11.764838,4.462315,0.762,0.306682,1.32,3.241962,BRA2,Testing,2024,0.559279190896237,0.5399276109201347,0.5496034009081859
34,J. Quintero,,Vila Nova,RCB,RCB,4,29,700000,,19,1497,Colombia,Colombia,right,184,79,no,7.33,2.586455,2.586455,1.74525,10.222443,4.207117,0.239988,0.12,0.18,1.62545,BRA2,Testing,2024,0.4812943835549147,0.4057718053968051,0.44353309447586
35,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,29,800000,2024-12-31,25,2413,Brazil,Brazil,right,184,82,no,6.34,2.649702,2.388476,3.767519999999999,19.28514,8.131032000000001,0.411019,0.11,0.9,5.483992,BRA2,Testing,2024,0.7905303173361786,0.7875624642877432,0.789046390811961
