Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.636598,0.896518,1.0,0.133621,0.27883,0.333333,0.456989,1.0,0.471591,0.347217,1.0,Matheus Bueno,Guarani,Guarani,"LCMF, RCMF, LDMF",LCMF,8,26,350000,2025-06-30,33,3053,Brazil,Brazil,right,178,79,no,BRA2,Testing,2024,Segundo Volante Organizador,1.0,1,46,97,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,17,2,1,35.0,15,8.0,11.0,1,6.5,9,63,95,97,23,67,82,76,97,85,80
1,0.622423,0.46621,0.576973,0.676724,0.430565,1.0,1.0,0.335804,0.744318,1.0,0.898217,L. Mugni,Ceará,Ceará,"LCMF, CF, AMF",LCMF,8,32,300000,2024-12-31,28,1644,Argentina,"Argentina, Italy",left,183,79,no,BRA2,Testing,2024,Segundo Volante Organizador,0.898,2,46,95,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,19,16,8,7.0,6,1.0,1.0,26,3.0,1,58,65,82,84,86,97,97,43,93,97
2,0.579897,0.6584,0.775134,0.232759,0.074655,0.190476,0.327957,0.763249,0.392045,0.434264,0.802961,Diego Pituca,Santos,Santos,"RCMF, RDMF, LCMF",RCMF,8,32,1600000,2027-12-31,33,3109,Brazil,Brazil,left,178,69,no,BRA2,Testing,2024,Segundo Volante Organizador,0.803,3,46,93,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,22,6,2,30.0,36,25.0,21.5,2,10.0,6,52,86,95,34,21,45,53,95,78,86
3,0.31701,0.44923,0.710942,0.327586,0.297441,0.142857,0.225806,0.539584,0.380682,0.438783,0.75512,Ramon,Ponte Preta,Ponte Preta,"LCMF, LDMF, LAMF",LCMF,8,27,300000,2024-12-31,21,1130,Brazil,Brazil,left,174,69,no,BRA2,Testing,2024,Segundo Volante Organizador,0.755,4,46,91,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,44,17,3,19.5,13,30.0,33.0,10,13.5,5,4,63,93,57,71,34,28,78,70,89
4,0.958763,0.64845,0.548997,0.306034,0.348242,0.285714,0.532258,0.449459,0.244318,0.331649,0.687667,José Aldo,Ituano,Ituano,"LCMF, AMF",LCMF,8,26,50000,2025-11-30,26,2090,Brazil,Brazil,right,175,70,no,BRA2,Testing,2024,Segundo Volante Organizador,0.688,5,46,89,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,5,7,10,21.0,9,13.5,7.0,17,20.5,14,89,84,78,54,80,70,84,63,55,69
5,0.532216,0.389653,0.542296,0.400862,0.151321,0.761905,0.817204,0.470437,0.471591,0.442165,0.66709,Danielzinho,Mirassol,Mirassol,"RCMF, RDMF",RCMF,8,29,300000,2024-11-30,33,3242,Brazil,Brazil,right,167,65,no,BRA2,Testing,2024,Segundo Volante Organizador,0.667,6,46,86,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,27,22,12,15.0,25,2.5,3.0,14,6.5,4,41,52,73,67,45,94,93,69,85,91
6,0.578608,0.44034,0.546375,0.362069,0.233314,0.190476,0.327957,0.710777,0.386364,0.338742,0.65881,Matheus Barbosa,Botafogo SP,Botafogo SP,RCMF,RCMF,8,30,700000,2025-12-31,16,1184,Brazil,Brazil,right,184,75,no,BRA2,Testing,2024,Segundo Volante Organizador,0.659,7,46,84,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,23,18,11,16.0,18,25.0,21.5,4,11.5,11,50,60,76,65,60,45,53,91,75,76
7,0.462629,1.0,0.610541,0.034483,0.320585,0.095238,0.231183,0.567917,0.210227,0.211297,0.658064,Cristiano,Vila Nova,Vila Nova,"LCMF, RCMF, RDMF",LCMF,8,23,0,,31,2930,Brazil,Brazil,right,175,70,no,BRA2,Testing,2024,Segundo Volante Organizador,0.658,8,46,82,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,33,1,6,42.0,11,33.5,32.0,9,26.0,25,28,97,86,8,76,27,30,80,43,45
8,0.576031,0.47304,0.508737,0.301724,0.430875,0.142857,0.33871,0.6639,0.238636,0.225498,0.657263,Richardson,Ceará,Ceará,"RCMF, LDMF, DMF",RCMF,8,33,300000,2024-12-31,21,1294,Brazil,Brazil,right,174,74,no,BRA2,Testing,2024,Segundo Volante Organizador,0.657,9,46,80,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,25,15,14,22.5,5,30.0,19.0,5,22.5,22,45,67,69,51,89,34,58,89,51,52
9,0.391753,0.430544,0.512208,0.487069,0.0,0.761905,0.903226,0.610723,0.380682,0.311601,0.649545,Rafael Gava,Goiás,Goiás,"LCMF, RCMF, RDMF",LCMF,8,31,600000,2024-12-31,27,1972,Brazil,Brazil,right,178,76,no,BRA2,Testing,2024,Segundo Volante Organizador,0.65,10,46,78,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,39,19,13,10.0,46,2.5,2.0,8,13.5,16,15,58,71,78,0,94,95,82,70,65
