Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Passes_EntreLinhas_Certos_LM,Passes_Chave_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Passes_Chave_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil
0,0.507534,0.617721,0.858224,0.604061,0.533599,0.565217,0.868217,0.682308,1.0,1.0,1.0,Luciano Naninho,Vila Nova,Vila Nova,"AMF, CF, LCMF",AMF,9,32,150000,2025-06-30,18,799,Brazil,Brazil,right,172,68,no,BRA2,Testing,2024,Meia Organizador,1.0,1,15,93,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,4,3,2,4,4,7.0,2,6,1,1.0,73,80,86,73,73,53,86,60,93,93
1,0.43789,0.361719,0.530987,0.67858,0.524443,1.0,0.678295,0.715449,0.153769,0.721519,0.821221,Giovanni Augusto,Chapecoense,Chapecoense,"AMF, CF",AMF,9,35,300000,2025-04-30,25,1416,Brazil,Brazil,right,177,71,no,BRA2,Testing,2024,Meia Organizador,0.821,2,15,86,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,8,8,6,3,5,1.5,6,5,6,5.0,46,46,60,80,66,90,60,66,60,66
2,0.478993,1.0,1.0,0.186021,0.0,0.782609,0.70155,0.923324,0.166461,0.518987,0.641766,Robinho,Paysandu,Paysandu,"AMF, RAMF, RW",AMF,9,36,200000,2024-11-30,18,875,Brazil,Brazil,right,175,70,no,BRA2,Testing,2024,Meia Organizador,0.642,3,15,80,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,6,1,1,9,15,4.0,5,2,5,6.0,60,93,93,40,0,73,66,86,66,60
3,1.0,0.548591,0.852324,0.0,0.147502,0.956522,0.736434,0.899113,0.729771,0.949367,0.624667,Élvis,Ponte Preta,Ponte Preta,"AMF, CF",AMF,9,34,350000,2024-12-31,29,2377,Brazil,Brazil,right,175,73,no,BRA2,Testing,2024,Meia Organizador,0.625,4,15,73,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,1,4,3,15,10,3.0,4,3,2,2.5,93,73,80,0,33,80,73,80,86,83
4,0.542023,0.840882,0.580165,0.313335,0.120589,0.478261,0.782946,1.0,0.100147,0.316456,0.577023,Josué,Coritiba,Coritiba,"AMF, CF",AMF,9,34,600000,2025-12-31,10,721,Portugal,Portugal,left,174,75,no,BRA2,Testing,2024,Meia Organizador,0.577,5,15,66,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,3,2,5,7,12,9.0,3,1,9,7.0,80,86,66,53,20,40,80,93,40,53
5,0.129723,0.156277,0.129093,1.0,0.654112,0.043478,0.0,0.031346,0.139634,0.21519,0.532372,Juninho,Paysandu,Paysandu,"AMF, RW, LAMF",AMF,9,25,0,,19,1039,Brazil,Brazil,right,168,62,no,BRA2,Testing,2024,Meia Organizador,0.532,6,15,60,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,12,13,13,1,3,13.0,15,14,7,12.0,20,13,13,93,80,13,0,6,53,20
6,0.463574,0.394251,0.654812,0.135071,0.298588,1.0,1.0,0.681563,0.335104,0.797468,0.514457,J. Cazares,Paysandu,Paysandu,"AMF, CF",AMF,9,32,500000,2024-12-31,15,902,Ecuador,Ecuador,right,171,63,no,BRA2,Testing,2024,Meia Organizador,0.514,7,15,53,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,7,7,4,12,7,1.5,1,7,3,4.0,53,53,73,20,53,90,93,53,80,73
7,0.241224,0.443903,0.395042,0.450802,0.746452,0.0,0.124031,0.581757,0.0,0.126582,0.508604,Yann Rolim,Ituano,Ituano,"AMF, LCMF, CF",AMF,9,29,250000,2025-04-15,17,940,Brazil,Brazil,right,173,68,no,BRA2,Testing,2024,Meia Organizador,0.509,8,15,46,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,10,5,8,5,2,14.5,14,9,13,14.0,33,66,46,66,86,3,6,40,13,6
8,0.0,0.0,0.0,0.736984,1.0,0.0,0.143411,0.0,0.0,0.21519,0.494217,Thomás Bedinelli,Chapecoense,Chapecoense,"AMF, CF, RAMF",AMF,9,31,300000,2025-12-31,27,1618,Brazil,"Brazil, Italy",right,180,76,no,BRA2,Testing,2024,Meia Organizador,0.494,9,15,40,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,15,15,15,2,1,14.5,13,15,13,12.0,0,0,0,86,93,3,13,0,13,20
9,0.488014,0.402764,0.530292,0.070198,0.207395,0.608696,0.51938,0.61463,0.189301,0.253165,0.4012,Gegé,CRB,CRB,"AMF, LCMF, RCMF",AMF,9,30,200000,2024-12-31,31,2655,Brazil,Brazil,left,175,70,no,BRA2,Testing,2024,Meia Organizador,0.401,10,15,33,0.370491,0.394915,0.446326,0.341532,0.330216,0.478261,0.491473,0.553092,0.201135,0.452321,5,6,7,13,8,5.5,7,8,4,9.0,66,60,53,13,46,63,53,46,73,40
