Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Ameaça_Ofensiva,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xG_LM,Finalizações_NoAlvo_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Passes_Inteligentes_Certos_LM,Passes_EntreLinhas_Certos_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Passes_Inteligentes_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_Inteligentes_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,1.0,0.548591,0.852324,0.0,0.0,0.147502,0.545455,0.427824,0.586964,0.956522,0.736434,0.899113,0.349003,0.729771,0.840491,0.949367,0.832132,1.0,Élvis,Ponte Preta,Ponte Preta,"AMF, CF",AMF,9,34,350000,2024-12-31,29,2377,Brazil,Brazil,right,175,73,no,BRA2,Testing,2024,Meia Atacante,1.0,1,15,93,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,1,4,3,15,15.0,10,4.0,9,4,3.0,4,3,6.0,2,2.0,2.5,3,93,73,80,0,0,33,73,40,73,80,73,80,60,86,86,83,80
1,0.478993,1.0,1.0,0.186021,0.296875,0.0,0.227273,0.316415,0.627191,0.782609,0.70155,0.923324,0.458402,0.166461,0.588957,0.518987,1.0,0.932547,Robinho,Paysandu,Paysandu,"AMF, RAMF, RW",AMF,9,36,200000,2024-11-30,18,875,Brazil,Brazil,right,175,70,no,BRA2,Testing,2024,Meia Atacante,0.933,2,15,86,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,6,1,1,9,10.0,15,12.0,12,3,4.0,5,2,4.0,5,7.0,6.0,1,60,93,93,40,33,0,20,20,80,73,66,86,73,66,53,60,93
2,0.507534,0.617721,0.858224,0.604061,0.125,0.533599,0.136364,0.359934,0.134515,0.565217,0.868217,0.682308,1.0,1.0,1.0,1.0,0.924547,0.897534,Luciano Naninho,Vila Nova,Vila Nova,"AMF, CF, LCMF",AMF,9,32,150000,2025-06-30,18,799,Brazil,Brazil,right,172,68,no,BRA2,Testing,2024,Meia Atacante,0.898,3,15,80,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,4,3,2,4,12.0,4,13.5,10,11,7.0,2,6,1.0,1,1.0,1.0,2,73,80,86,73,20,73,10,33,26,53,86,60,93,93,93,93,86
3,0.488014,0.402764,0.530292,0.070198,0.332031,0.207395,0.545455,0.835547,0.132278,0.608696,0.51938,0.61463,0.229167,0.189301,0.435583,0.253165,0.445165,0.863888,Gegé,CRB,CRB,"AMF, LCMF, RCMF",AMF,9,30,200000,2024-12-31,31,2655,Brazil,Brazil,left,175,70,no,BRA2,Testing,2024,Meia Atacante,0.864,4,15,73,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,5,6,7,13,9.0,8,4.0,4,12,5.5,7,8,8.0,4,9.0,9.0,5,66,60,53,13,40,46,73,73,20,63,53,46,46,73,40,40,66
4,0.241224,0.443903,0.395042,0.450802,0.488281,0.746452,0.909091,0.919142,0.676554,0.0,0.124031,0.581757,0.0,0.0,0.656442,0.126582,0.295064,0.80521,Yann Rolim,Ituano,Ituano,"AMF, LCMF, CF",AMF,9,29,250000,2025-04-15,17,940,Brazil,Brazil,right,173,68,no,BRA2,Testing,2024,Meia Atacante,0.805,5,15,66,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,10,5,8,5,6.5,2,2.0,2,2,14.5,14,9,12.5,13,4.0,14.0,11,33,66,46,66,56,86,86,86,86,3,6,40,16,13,73,6,26
5,0.43789,0.361719,0.530987,0.67858,0.488281,0.524443,0.272727,0.354845,0.433417,1.0,0.678295,0.715449,0.0,0.153769,0.595092,0.721519,0.591493,0.741576,Giovanni Augusto,Chapecoense,Chapecoense,"AMF, CF",AMF,9,35,300000,2025-04-30,25,1416,Brazil,Brazil,right,177,71,no,BRA2,Testing,2024,Meia Atacante,0.742,6,15,60,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,8,8,6,3,6.5,5,11.0,11,7,1.5,6,5,12.5,6,5.5,5.0,4,46,46,60,80,56,66,26,26,53,90,60,66,16,60,63,66,73
6,0.463574,0.394251,0.654812,0.135071,0.347656,0.298588,0.136364,0.440047,0.011428,1.0,1.0,0.681563,0.465772,0.335104,0.411043,0.797468,0.333301,0.694183,J. Cazares,Paysandu,Paysandu,"AMF, CF",AMF,9,32,500000,2024-12-31,15,902,Ecuador,Ecuador,right,171,63,no,BRA2,Testing,2024,Meia Atacante,0.694,7,15,53,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,7,7,4,12,8.0,7,13.5,8,14,1.5,1,7,3.0,3,10.0,4.0,10,53,53,73,20,46,53,10,46,6,90,93,53,80,80,33,73,33
7,0.234347,0.16125,0.299042,0.405881,0.878906,0.300039,0.409091,1.0,0.144047,0.434783,0.48062,0.389833,0.0,0.0,0.239264,0.949367,0.363068,0.60492,Serginho,Santos,Santos,"AMF, RCMF, CF",AMF,9,33,0,2024-12-31,18,960,Brazil,Brazil,right,166,62,yes,BRA2,Testing,2024,Meia Atacante,0.605,8,15,46,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,11,12,10,6,2.0,6,8.0,1,10,10.0,8,11,12.5,13,12.0,2.5,8,26,20,33,60,86,60,46,93,33,33,46,26,16,13,20,83,46
8,0.381265,0.140545,0.266096,0.19701,0.558594,0.171707,0.5,0.701987,0.232563,0.608696,0.399225,0.289149,0.110898,0.114229,0.595092,0.240506,0.370802,0.599032,C. Ortiz,Sport Recife,Sport Recife,"AMF, CF, LCMF",AMF,9,32,700000,2024-12-31,27,1890,Argentina,Argentina,right,169,68,no,BRA2,Testing,2024,Meia Atacante,0.599,9,15,40,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,9,14,11,8,4.0,9,6.5,5,9,5.5,9,12,9.0,8,5.5,10.0,7,40,6,26,46,73,40,56,66,40,63,40,20,40,46,63,33,53
9,0.542023,0.840882,0.580165,0.313335,0.15625,0.120589,0.5,0.0,0.51571,0.478261,0.782946,1.0,0.827039,0.100147,0.122699,0.316456,0.169598,0.555251,Josué,Coritiba,Coritiba,"AMF, CF",AMF,9,34,600000,2025-12-31,10,721,Portugal,Portugal,left,174,75,no,BRA2,Testing,2024,Meia Atacante,0.555,10,15,33,0.370491,0.394915,0.446326,0.341532,0.40026,0.330216,0.427273,0.505278,0.362669,0.478261,0.491473,0.553092,0.271248,0.201135,0.487526,0.452321,0.43294,3,2,5,7,11.0,12,6.5,15,5,9.0,3,1,2.0,9,14.0,7.0,13,80,86,66,53,26,20,56,0,66,40,80,93,86,40,6,53,13
