Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
0,0.370248,0.499691,1.0,0.941657,0.265696,0.0,0.913043,1.0,Lucas Lima,Sport Recife,Sport Recife,"RW, RAMF, CF",RW,10,34,600000,2025-04-30,31,2847,Brazil,Brazil,left,176,70,yes,BRA2,Testing,2024,Extremo Tático,1.0,1,60,98,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,33.0,20,1,2,41,59.5,3.0,45,66,98,96,31,0,95
1,0.305785,0.415697,0.524106,1.0,0.405398,0.483871,0.826087,0.920223,Adyson,América Mineiro,América Mineiro,"RAMF, RW, RWF",RAMF,10,19,0,,27,1613,Brazil,Brazil,left,168,60,no,BRA2,Testing,2024,Extremo Tático,0.92,2,60,96,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,38.5,24,6,1,22,21.5,5.0,35,60,90,98,63,64,91
2,0.915702,0.814143,0.636658,0.50193,0.530758,0.612903,0.434783,0.880918,Lucas Ronier,Coritiba U20,Coritiba,"RAMF, RW, CF",RAMF,10,19,0,,31,2787,Brazil,Brazil,left,165,60,no,BRA2,Testing,2024,Extremo Tático,0.881,3,60,95,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,3.0,3,3,5,9,11.0,21.5,95,95,95,91,85,81,64
3,0.705785,0.656443,0.454104,0.396553,0.326374,0.0,0.217391,0.763258,Éverton Brito,Ponte Preta,Ponte Preta,"RAMF, LAMF, RW",RAMF,10,29,200000,2024-12-31,16,1008,Brazil,Brazil,right,170,66,no,BRA2,Testing,2024,Extremo Tático,0.763,4,60,93,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,11.0,7,8,11,32,59.5,43.0,81,88,86,81,46,0,28
4,0.74876,0.822909,0.349881,0.437993,0.182257,0.645161,1.0,0.746869,Rodriguinho,América Mineiro,América Mineiro,"LW, LAMF",LW,10,21,0,,13,935,Brazil,Brazil,right,170,65,no,BRA2,Testing,2024,Extremo Tático,0.747,5,60,91,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,8.0,2,15,6,52,8.0,1.0,86,96,75,90,13,86,98
5,0.834711,0.601545,0.609195,0.364127,0.095889,0.258065,0.347826,0.722496,Pedro Castro,Avaí,Avaí,"RW, RCMF",RW,10,31,400000,2024-11-30,24,1859,Brazil,Brazil,right,180,79,no,BRA2,Testing,2024,Extremo Tático,0.722,6,60,90,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,5.0,11,4,13,57,49.5,29.0,91,81,93,78,5,17,51
6,0.727273,0.566025,0.366225,0.428925,0.277902,0.16129,0.565217,0.684999,Diego Mathias,Brusque,Brusque,"RW, RAMF, RCMF",RW,10,25,0,2026-06-30,25,1762,Brazil,Brazil,left,182,73,no,BRA2,Testing,2024,Extremo Tático,0.685,7,60,88,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,9.0,15,12,7,38,53.0,13.5,85,75,80,88,36,11,77
7,0.846281,0.709154,0.665222,0.302618,0.36471,0.483871,0.086957,0.677513,João Paulo,Avaí,Avaí,"RW, AMF, RAMF",RW,10,34,400000,2025-12-31,19,1099,Brazil,Brazil,right,169,59,no,BRA2,Testing,2024,Extremo Tático,0.678,8,60,86,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,4.0,5,2,19,26,21.5,55.0,93,91,96,68,56,64,8
8,0.603306,0.403804,0.34863,0.537951,0.342007,1.0,0.608696,0.674842,Guilherme,Santos,Santos,"LAMF, LW",LAMF,10,29,1000000,2026-12-31,28,2530,Brazil,Brazil,left,180,65,no,BRA2,Testing,2024,Extremo Tático,0.675,9,60,85,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,19.0,25,16,3,29,1.0,10.5,68,58,73,95,51,98,82
9,0.614876,0.591991,0.390644,0.35638,0.464858,0.322581,0.565217,0.673166,Rómulo Otero,Santos,Santos,"RW, RAMF, LW",RW,10,31,800000,2024-12-31,33,2070,Venezuela,Venezuela,right,166,70,no,BRA2,Testing,2024,Extremo Tático,0.673,10,60,83,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,18.0,12,11,14,12,40.5,13.5,70,80,81,76,80,32,77
