Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.833024,0.877056,0.408047,0.685874,0.564409,0.741297,0.301453,0.329169,0.451477,0.615902,1.0,Luisão,Grêmio Novorizontino U20,Grêmio Novorizontino,RCB,RCB,4,21,0,,30,2774,Brazil,Brazil,right,192,74,no,BRA2,Testing,2024,Zagueiro Construtor,1.0,1,74,98,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,11.0,2,39,15,28,8,15,13.0,21.5,20,85,97,47,79,62,89,79,82,70,72
1,0.871985,0.627908,0.744059,0.468032,0.699937,0.721009,0.277684,0.245884,0.57384,0.803949,0.988365,Y. Quintana,Paysandu,Paysandu,"RCB, LCB",RCB,4,28,350000,2024-11-30,20,1853,Uruguay,Uruguay,right,196,92,no,BRA2,Testing,2024,Zagueiro Construtor,0.988,2,74,97,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,8.0,9,6,39,10,10,16,23.0,13.5,7,89,87,91,47,86,86,78,68,81,90
2,0.428571,0.589346,0.660988,0.618846,0.53948,0.646828,0.356201,0.158983,0.578059,0.719596,0.963669,David Ricardo,Ceará,Ceará,LCB,LCB,4,21,0,,29,2824,Brazil,Brazil,left,188,78,no,BRA2,Testing,2024,Zagueiro Construtor,0.964,3,74,95,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,39.0,13,10,21,31,17,11,37.0,12.0,12,47,82,86,71,58,77,85,50,83,83
3,0.589981,0.582707,0.736636,0.505613,0.768377,0.64036,0.238243,0.325602,0.56962,0.643564,0.962176,Bernardo Schappo,Botafogo SP,Botafogo SP,LCB,LCB,4,25,750000,2026-12-31,28,2271,Brazil,"Brazil, Luxembourg",left,191,85,yes,BRA2,Testing,2024,Zagueiro Construtor,0.962,4,74,94,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,23.0,15,7,33,7,19,25,14.0,15.5,16,68,79,90,55,90,74,66,81,79,78
4,0.762523,0.54211,0.728088,0.655932,0.462179,0.547321,0.149125,0.219778,0.092827,0.41611,0.956498,Renato Palm,Grêmio Novorizontino,Grêmio Novorizontino,"CB, LCB, RCB",CB,4,33,300000,2024-11-30,20,1657,Brazil,Brazil,right,190,89,no,BRA2,Testing,2024,Zagueiro Construtor,0.956,5,74,93,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,13.0,18,8,17,40,29,45,26.0,66.0,47,82,75,89,77,45,60,39,64,10,36
5,0.890538,0.819349,0.778715,0.449222,0.365451,0.454308,0.45726,0.524234,0.257384,0.500157,0.951864,Patrick,Grêmio Novorizontino,Grêmio Novorizontino,LCB,LCB,4,25,0,,22,1932,Brazil,Brazil,left,183,79,yes,BRA2,Testing,2024,Zagueiro Construtor,0.952,6,74,91,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,5.0,4,4,44,53,36,10,5.0,47.5,36,93,94,94,40,28,51,86,93,35,51
6,0.784787,0.674831,0.321744,0.543914,0.834108,0.776208,0.225391,0.151163,0.413502,0.644028,0.947449,Miranda,Amazonas,Amazonas,"RCB, LCB",RCB,4,24,600000,2024-12-31,24,2396,Brazil,Brazil,right,181,73,yes,BRA2,Testing,2024,Zagueiro Construtor,0.947,7,74,90,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,12.0,7,54,29,3,4,27,40.0,26.5,15,83,90,27,60,95,94,63,45,64,79
7,0.944341,1.0,0.24167,0.494622,0.559566,0.603786,0.505587,0.808517,0.168776,0.617544,0.933692,Ericson,Botafogo SP,Botafogo SP,"LCB, RB, CB",LCB,4,25,50000,2025-12-10,12,909,Brazil,Brazil,right,184,84,no,BRA2,Testing,2024,Zagueiro Construtor,0.934,8,74,89,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,3.0,1,62,35,29,22,6,2.0,56.0,19,95,98,16,52,60,70,91,97,24,74
8,0.940631,0.63691,1.0,0.499308,0.197023,0.410444,0.140707,0.081399,0.033755,0.363131,0.933614,Rafael Donato,Grêmio Novorizontino,Grêmio Novorizontino,CB,CB,4,35,200000,2025-11-30,26,2172,Brazil,Brazil,right,193,99,no,BRA2,Testing,2024,Zagueiro Construtor,0.934,9,74,87,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,4.0,8,1,34,68,42,46,56.0,70.0,54,94,89,98,54,8,43,37,24,5,27
9,0.705009,0.617153,0.405807,0.891313,0.656509,0.681098,0.082589,0.088187,0.232068,0.550229,0.932857,Maurício Antônio,Coritiba,Coritiba,"RCB, CB, LCB",RCB,4,32,300000,2025-12-31,25,2110,Brazil,"Brazil, Portugal",right,183,82,no,BRA2,Testing,2024,Zagueiro Construtor,0.933,10,74,86,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,17.0,11,40,7,15,13,60,53.0,50.0,32,77,85,45,90,79,82,18,28,32,56
10,0.858998,0.518665,0.401796,0.779513,0.45166,0.426448,0.610521,0.488421,0.603376,0.736993,0.930055,Jonathan Costa,Avaí,Avaí,"LCB, RCB",LCB,4,29,250000,2024-12-31,9,755,Brazil,Brazil,right,186,70,no,BRA2,Testing,2024,Zagueiro Construtor,0.93,11,74,85,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,9.5,20,42,9,41,40,2,6.0,10.0,11,87,72,43,87,44,45,97,91,86,85
11,0.549165,0.395804,0.751118,0.720578,0.522153,0.556876,0.121053,0.152636,0.202532,0.577421,0.9266,Tiago Pagnussat,Avaí,Avaí,"RCB, LCB",RCB,4,34,250000,2025-06-30,32,3009,Brazil,"Brazil, Italy",right,191,88,no,BRA2,Testing,2024,Zagueiro Construtor,0.927,12,74,83,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,27.0,32,5,12,36,28,52,38.0,55.0,25,63,56,93,83,51,62,29,48,25,66
12,0.439703,0.386974,0.839891,0.510755,0.550341,0.446463,0.354898,0.30814,0.28692,0.617964,0.906289,Joaquim,Tigres UANL,Santos,"LCB, RCB",LCB,4,25,3000000,2027-06-30,12,1189,Brazil,Brazil,right,190,82,no,BRA2,Testing,2024,Zagueiro Construtor,0.906,13,74,82,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,37.0,33,3,31,30,37,12,16.0,42.5,18,50,55,95,58,59,50,83,78,42,75
13,0.888683,0.196375,0.581875,1.0,0.375954,0.775388,0.535134,0.250994,0.206751,0.597535,0.896992,César Martins,Grêmio Novorizontino,Grêmio Novorizontino,"CB, RCB",CB,4,31,750000,2025-12-10,10,735,Brazil,Brazil,right,191,88,no,BRA2,Testing,2024,Zagueiro Construtor,0.897,14,74,81,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,6.0,60,16,1,50,5,5,22.0,53.0,21,91,18,78,98,32,93,93,70,28,71
14,0.339518,0.287902,0.518343,0.990107,0.839712,1.0,0.156829,0.142449,0.42616,0.964549,0.885908,Saimon,CRB,CRB,RCB,RCB,4,33,150000,2024-12-31,20,1965,Brazil,Brazil,right,185,79,no,BRA2,Testing,2024,Zagueiro Construtor,0.886,15,74,79,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,47.5,46,24,2,2,1,43,41.0,23.5,2,35,37,67,97,97,98,41,44,68,97
15,0.521336,0.528103,0.499697,0.46059,0.718673,0.675056,0.0627,0.0,0.683544,0.749367,0.870673,Alisson Cassiano,Sport Recife,Sport Recife,RCB,RCB,4,30,150000,2024-12-31,10,888,Brazil,Brazil,right,187,83,no,BRA2,Testing,2024,Zagueiro Construtor,0.871,16,74,78,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,31.0,19,25,40,9,15,69,71.5,7.0,10,58,74,66,45,87,79,6,3,90,86
16,0.643785,0.430587,0.556616,0.609582,0.422564,0.360664,0.159316,0.180902,0.405063,0.400462,0.855539,Bruno Leonardo,Chapecoense,Chapecoense,RCB,RCB,4,28,0,,26,2538,Brazil,Brazil,right,187,88,no,BRA2,Testing,2024,Zagueiro Construtor,0.856,17,74,77,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,19.0,28,18,22,46,51,42,33.0,28.5,49,74,62,75,70,37,31,43,55,61,33
17,0.241187,0.082619,0.619224,0.925565,0.647429,0.668823,0.34327,0.19186,0.56962,0.767285,0.837491,Willian Machado,Operário PR,Operário PR,LCB,LCB,4,27,100000,2024-12-31,30,3026,Brazil,Brazil,left,186,90,no,BRA2,Testing,2024,Zagueiro Construtor,0.837,18,74,75,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,59.0,70,12,6,16,16,13,30.0,15.5,9,20,5,83,91,78,78,82,59,79,87
18,0.662338,0.716566,0.210764,0.652036,0.699118,0.586683,0.197898,0.174439,0.28692,0.575931,0.826846,Fabio Alemão,CRB,CRB,LCB,LCB,4,27,300000,2024-12-31,16,1588,Brazil,Brazil,right,184,87,no,BRA2,Testing,2024,Zagueiro Construtor,0.827,19,74,74,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,18.0,6,68,18,11,25,35,35.0,42.5,26,75,91,8,75,85,66,52,52,42,64
