Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.871985,0.627908,0.744059,0.38843,1.0,0.468032,0.699937,0.721009,0.570723,0.277684,0.245884,0.57384,0.803949,1.0,Y. Quintana,Paysandu,Paysandu,"RCB, LCB",RCB,4,28,350000,2024-11-30,20,1853,Uruguay,Uruguay,right,196,92,no,BRA2,Testing,2024,Zagueiro Equilibrado,1.0,1,74,98,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,8.0,9,6,33.5,1.0,39,10,10,33,16,23.0,13.5,7,89,87,91,54,98,47,86,86,55,78,68,81,90
1,0.858998,0.518665,0.401796,0.652893,0.808795,0.779513,0.45166,0.426448,0.718199,0.610521,0.488421,0.603376,0.736993,0.974537,Jonathan Costa,Avaí,Avaí,"LCB, RCB",LCB,4,29,250000,2024-12-31,9,755,Brazil,Brazil,right,186,70,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.975,2,74,97,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,9.5,20,42,6.0,6.0,9,41,40,19,2,6.0,10.0,11,87,72,43,91,91,87,44,45,74,97,91,86,85
2,0.944341,1.0,0.24167,0.198347,0.527725,0.494622,0.559566,0.603786,0.343207,0.505587,0.808517,0.168776,0.617544,0.918311,Ericson,Botafogo SP,Botafogo SP,"LCB, RB, CB",LCB,4,25,50000,2025-12-10,12,909,Brazil,Brazil,right,184,84,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.918,3,74,95,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,3.0,1,62,62.0,29.0,35,29,22,63,6,2.0,56.0,19,95,98,16,16,60,52,60,70,14,91,97,24,74
3,0.705009,0.617153,0.405807,0.570248,0.573614,0.891313,0.656509,0.681098,0.817424,0.082589,0.088187,0.232068,0.550229,0.895884,Maurício Antônio,Coritiba,Coritiba,"RCB, CB, LCB",RCB,4,32,300000,2025-12-31,25,2110,Brazil,"Brazil, Portugal",right,183,82,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.896,4,74,94,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,17.0,11,40,11.0,24.0,7,15,13,9,60,53.0,50.0,32,77,85,45,85,67,90,79,82,87,18,28,32,56
4,0.784787,0.674831,0.321744,0.396694,0.619503,0.543914,0.834108,0.776208,0.509974,0.225391,0.151163,0.413502,0.644028,0.890086,Miranda,Amazonas,Amazonas,"RCB, LCB",RCB,4,24,600000,2024-12-31,24,2396,Brazil,Brazil,right,181,73,yes,BRA2,Testing,2024,Zagueiro Equilibrado,0.89,5,74,93,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,12.0,7,54,30.5,19.0,29,3,4,39,27,40.0,26.5,15,83,90,27,58,74,60,95,94,47,63,45,64,79
5,0.888683,0.196375,0.581875,0.876033,0.99044,1.0,0.375954,0.775388,0.606683,0.535134,0.250994,0.206751,0.597535,0.886993,César Martins,Grêmio Novorizontino,Grêmio Novorizontino,"CB, RCB",CB,4,31,750000,2025-12-10,10,735,Brazil,Brazil,right,191,88,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.887,6,74,91,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,6.0,60,16,2.0,2.0,1,50,5,27,5,22.0,53.0,21,91,18,78,97,97,98,32,93,63,93,70,28,71
6,0.521336,0.528103,0.499697,0.53719,0.623327,0.46059,0.718673,0.675056,0.772696,0.0627,0.0,0.683544,0.749367,0.855515,Alisson Cassiano,Sport Recife,Sport Recife,RCB,RCB,4,30,150000,2024-12-31,10,888,Brazil,Brazil,right,187,83,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.856,7,74,90,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,31.0,19,25,14.0,18.0,40,9,15,13,69,71.5,7.0,10,58,74,66,81,75,45,87,79,82,6,3,90,86
7,0.966605,0.38231,0.343408,0.793388,0.944551,0.597245,0.0,0.469846,0.259194,0.312172,0.379826,0.21097,0.527353,0.846475,Jean Irmer,Ceará,Ceará,"CB, DMF, RCB",CB,4,30,400000,2024-12-31,16,723,Brazil,Brazil,right,183,80,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.846,8,74,89,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,2.0,34,50,3.0,4.0,23,74,34,71,14,10.0,51.0,34,97,54,32,95,94,68,0,54,4,81,86,31,54
8,0.662338,0.716566,0.210764,0.619835,0.493308,0.652036,0.699118,0.586683,0.706447,0.197898,0.174439,0.28692,0.575931,0.844862,Fabio Alemão,CRB,CRB,LCB,LCB,4,27,300000,2024-12-31,16,1588,Brazil,Brazil,right,184,87,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.845,9,74,87,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,18.0,6,68,7.0,36.0,18,11,25,21,35,35.0,42.5,26,75,91,8,90,51,75,85,66,71,52,52,42,64
9,0.940631,0.63691,1.0,0.31405,0.73805,0.499308,0.197023,0.410444,0.251706,0.140707,0.081399,0.033755,0.363131,0.840086,Rafael Donato,Grêmio Novorizontino,Grêmio Novorizontino,CB,CB,4,35,200000,2025-11-30,26,2172,Brazil,Brazil,right,193,99,no,BRA2,Testing,2024,Zagueiro Equilibrado,0.84,10,74,86,0.472121,0.379349,0.435384,0.372459,0.501292,0.477433,0.478591,0.476305,0.556554,0.222126,0.208823,0.363382,0.485257,4.0,8,1,41.5,12.5,34,68,42,72,46,56.0,70.0,54,94,89,98,43,83,54,8,43,2,37,24,5,27
