Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
Ralf,Vila Nova,4,right,BRA2,2024,Zagueiro,Zagueiro
Vágner Love,Avaí,12,right,BRA2,2024,Atacante,Atacante
Diogo Silva,Paysandu,0,right,BRA2,2024,Goleiro,Goleiro
Matheus Cavichioli,Chapecoense,0,right,BRA2,2024,Goleiro,Goleiro
Matheus Nogueira,Brusque,0,right,BRA2,2024,Goleiro,Goleiro
Willian,Santos,12,right,BRA2,2024,Atacante,Atacante
David Braz,Goiás,4,right,BRA2,2024,Zagueiro,Zagueiro
Gil,Santos,4,right,BRA2,2024,Zagueiro,Zagueiro
Juninho,América Mineiro,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Robinho,Paysandu,9,right,BRA2,2024,Meia,Meia
Wallace,Brusque,4,right,BRA2,2024,Zagueiro,Zagueiro
Rodolfo Potiguar,Brusque,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Moisés,América Mineiro,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
João Carlos,Botafogo SP,0,right,BRA2,2024,Goleiro,Goleiro
Anselmo Ramon,CRB,12,right,BRA2,2024,Atacante,Atacante
Geovane,Grêmio Novorizontino,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Rafael Santos,Operário PR,0,right,BRA2,2024,Goleiro,Goleiro
Rafael Donato,Grêmio Novorizontino,4,right,BRA2,2024,Zagueiro,Zagueiro
Patric,,1,right,BRA2,2024,Lateral Direito,Lateral
Eduardo Diniz,Ituano,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Willian Farias,Grêmio Novorizontino,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Rodrigo Lindoso,Operário PR,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Vladimir,Guarani,0,right,BRA2,2024,Goleiro,Goleiro
Thiago Galhardo,Goiás,12,right,BRA2,2024,Atacante,Atacante
Leandro Damião,,12,right,BRA2,2024,Atacante,Atacante
Julio Furch,Santos,12,right,BRA2,2024,Atacante,Atacante
Giovanni Augusto,Chapecoense,9,right,BRA2,2024,Meia,Meia
Luciano Castán,Sport Recife,4,left,BRA2,2024,Zagueiro,Zagueiro
Nicolas,Paysandu,12,right,BRA2,2024,Atacante,Atacante
Alex Muralha,Mirassol,0,right,BRA2,2024,Goleiro,Goleiro
Gabriel,Mirassol,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Waguininho,Grêmio Novorizontino,10,right,BRA2,2024,Extremo,Extremo
Lucca,Grêmio Novorizontino,12,right,BRA2,2024,Atacante,Atacante
Fabiano,Amazonas,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Marlon,Grêmio Novorizontino,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Camacho,Guarani,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Douglas Bacelar,Guarani,4,right,BRA2,2024,Zagueiro,Zagueiro
João Paulo,Avaí,10,right,BRA2,2024,Extremo,Extremo
Claudinho,Ituano,4,right,BRA2,2024,Zagueiro,Zagueiro
Guilherme Queiróz,Brusque,12,right,BRA2,2024,Atacante,Atacante
Giuliano,Santos,9,right,BRA2,2024,Meia,Meia
Alê,América Mineiro,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Tiago Pagnussat,Avaí,4,right,BRA2,2024,Zagueiro,Zagueiro
Lucas Lima,Sport Recife,10,left,BRA2,2024,Extremo,Extremo
Élvis,Ponte Preta,9,right,BRA2,2024,Meia,Meia
Josué,Coritiba,9,left,BRA2,2024,Meia,Meia
Léo Vieira,Chapecoense,0,right,BRA2,2024,Goleiro,Goleiro
Sander,Goiás,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Alemão,Operário PR,4,right,BRA2,2024,Zagueiro,Zagueiro
Jean Dias,Paysandu,10,right,BRA2,2024,Extremo,Extremo
D. Torres,Amazonas,12,left,BRA2,2024,Atacante,Atacante
Serginho,Santos,9,right,BRA2,2024,Meia,Meia
Rafael Tavares,Amazonas,12,left,BRA2,2024,Atacante,Atacante
Fábio Sanches,Botafogo SP,4,right,BRA2,2024,Zagueiro,Zagueiro
Marcão,Goiás,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Wanderson,CRB,4,right,BRA2,2024,Zagueiro,Zagueiro
Richard,Ceará,0,right,BRA2,2024,Goleiro,Goleiro
Saimon,CRB,4,right,BRA2,2024,Zagueiro,Zagueiro
Filipe Soutto,Botafogo SP,8,left,BRA2,2024,Segundo Volante,Segundo Volante
